"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"MYEOV2"	"MYEOV2"	0.291453509480424	-0.291453509480424	"S01"	0.291453509480424	"IS01"
"VDR"	"VDR"	0.275266368720481	-0.275266368720481	"S01"	0.275266368720481	"IS01"
"CTD.2369P2.12"	"CTD.2369P2.12"	0.263731862255964	-0.263731862255964	"S01"	0.263731862255964	"IS01"
"C19orf70"	"C19orf70"	0.224407143826757	-0.224407143826757	"S01"	0.224407143826757	"IS01"
"TM4SF20"	"TM4SF20"	0.217937325368359	-0.217937325368359	"S01"	0.217937325368359	"IS01"
"P4HA3"	"P4HA3"	0.16746831221691	-0.16746831221691	"S01"	0.16746831221691	"IS01"
"IGSF10"	"IGSF10"	0.161742109594318	-0.161742109594318	"S01"	0.161742109594318	"IS01"
"KITLG"	"KITLG"	0.144207640818844	-0.144207640818844	"S01"	0.144207640818844	"IS01"
"PODNL1"	"PODNL1"	0.117508519975113	-0.117508519975113	"S01"	0.117508519975113	"IS01"
"NDUFA10"	"NDUFA10"	0.0682476113902188	-0.0682476113902188	"S01"	0.0682476113902188	"IS01"
"LIF"	"LIF"	0.0319141084955785	-0.0319141084955785	"S01"	0.0319141084955785	"IS01"
"PTPRN"	"PTPRN"	0.0201302137668433	-0.0201302137668433	"S01"	0.0201302137668433	"IS01"
"PEPD"	"PEPD"	-0.669469738183151	0.669469738183151	"S02"	0.669469738183151	"IS02"
"C19orf35"	"C19orf35"	-0.364254271700321	0.364254271700321	"S02"	0.364254271700321	"IS02"
"RPL36"	"RPL36"	-0.316163138353116	0.316163138353116	"S02"	0.316163138353116	"IS02"
"SNRPF"	"SNRPF"	-0.227252948629013	0.227252948629013	"S02"	0.227252948629013	"IS02"
"SST"	"SST"	-0.114276598051119	0.114276598051119	"S02"	0.114276598051119	"IS02"
"SLC6A13"	"SLC6A13"	-0.0239664466931885	0.0239664466931885	"S02"	0.0239664466931885	"IS02"
