"IS01"	"IS02"
"AC123512.2__pos"	7.06906699176248	6.41998560867077
"ACKR1__pos"	12.2454271772246	1.12231145340822
"ALOX5__pos"	10.217026916617	2.00219560882119
"BTK__pos"	12.9228066781778	0.232804854535005
"C19orf35__pos"	3.19988043692937	8.81233759222653
"C1orf228__pos"	9.14889955639706	4.01045997814582
"CAPG__pos"	7.4654388423779	6.02597014238719
"CCL13__pos"	9.71297624290892	3.46030303493936
"CHRM2__pos"	4.69310089144885	8.73178379700691
"CMA1__pos"	13.3539824507811	2.22044604925031e-16
"DEFB119__pos"	6.82318222377112	6.64904808861476
"ENPP3__pos"	8.15271461539642	4.52255600523408
"ERVFRD.1__pos"	11.8170018179054	1.53418357010161
"GATA1__pos"	13.3281228232383	2.22044604925031e-16
"GFI1B__pos"	10.1947850217413	3.17833983704174
"GRAP2__pos"	13.4237079642723	2.22044604925031e-16
"GSDMA__pos"	8.56821082881919	4.73568432013781
"GSDMC__pos"	8.3932578442169	4.02687756754205
"HDC__pos"	13.1717799738541	2.22044604925031e-16
"HPGDS__pos"	8.19549483398871	4.90429360385924
"IGFBP4__pos"	8.5358362437704	4.58220848838818
"KITLG__pos"	6.89851736862362	6.30674280169285
"KRT71__pos"	4.93598156075245	8.30572332657022
"LIF__pos"	5.79542458201753	7.17330101124228
"LINC00694__pos"	10.2041886459225	3.3839124484
"LYL1__pos"	10.8906050162326	1.96505080161178
"MAP3K19__pos"	8.45933652654236	5.13084588394679
"MS4A2__pos"	12.5013988287191	2.22044604925031e-16
"NDUFA10__pos"	5.95061104656304	7.07765604241687
"OR10V1__pos"	5.03648111543846	0.47384772658549
"PEPD__pos"	0.796756037444518	11.7502283556308
"PODNL1__pos"	6.97318138998368	6.19956168438392
"RAB37__pos"	11.6417909065085	1.40531890246436
"RAB3C__pos"	10.1656343219841	2.85601247303833
"RAC2__pos"	11.2771909610833	1.94573360472441
"RASGRP4__pos"	7.60734831015571	3.06068429697249
"RGS13__pos"	13.4102404872587	2.22044604925031e-16
"RP11.872D17.8__pos"	9.22928323508563	3.38726704209872
"RPL36__pos"	4.37754751802078	8.27726679272907
"SLC45A3__pos"	10.2910111183949	2.80827772500515
"SLC6A13__pos"	6.2800458377474	7.19191289148129
"TPSAB1__pos"	13.1731799447629	0.146711438031666
"TPSD1__pos"	12.6768740571422	1.23999814483274
"VDR__pos"	7.11893175314653	5.92630864704561
"VWA5A__pos"	9.87142132566601	3.20005033922072
"ADCYAP1__pos"	10.9870446069629	2.28388083654704
"ADM5__pos"	10.6761918826956	2.57697714953537
"AVPR2__pos"	10.1520032675425	3.27823303936731
"C19orf70__pos"	6.60887565634703	6.18436244700509
"C1orf186__pos"	13.4093784049535	2.22044604925031e-16
"C8G__pos"	7.70753189565981	5.11497416693719
"CCNI2__pos"	10.5746902270448	2.50160495250863
"CPA3__pos"	12.735892707813	2.22044604925031e-16
"CSF2RB__pos"	12.0070091916793	1.03688002888306
"CTD.2369P2.12__pos"	6.43512987453674	6.45980422049318
"CTSG__pos"	13.1825248053462	2.22044604925031e-16
"DHRS9__pos"	10.6764035250425	2.66937039950403
"GATA2__pos"	8.60524355570519	4.28574260755039
"HAS1__pos"	8.96842811334759	4.22300922374517
"HPGD__pos"	11.49803379135	1.69862956258849
"IGSF10__pos"	7.29260474821015	6.01931542123349
"IL5RA__pos"	13.418736681338	2.22044604925031e-16
"KRT1__pos"	13.2994473759466	0.00147802935569613
"KRT2__pos"	9.95194788992398	3.65255172416135
"KRT74__pos"	4.55309600152916	8.81759767210052
"KRT83__pos"	6.17849921624309	7.25594585042169
"MAGEB4__pos"	2.40038364636667	2.22044604925031e-16
"MAS1L__pos"	13.785354174971	2.22044604925031e-16
"MS4A3__pos"	9.24958621930104	4.2522696763744
"MYB__pos"	8.35782550222148	4.80927283514522
"MYEOV2__pos"	6.53738450569422	6.25434494100312
"NNMT__pos"	8.92812814562901	4.43343603924679
"P2RX1__pos"	11.9431241337329	1.31993562506142
"P4HA3__pos"	7.27609973325405	5.88887956499343
"PRG2__pos"	10.4702923769311	2.40480218362076
"PTPRN__pos"	6.16473903975108	6.86838736764064
"RAB44__pos"	12.9837866843341	2.22044604925031e-16
"RARRES2__pos"	6.47989857797354	5.05495803143084
"RD3__pos"	7.90684230802016	5.11367132468673
"SIGLEC6__pos"	13.0440500961596	2.22044604925031e-16
"SIGLEC8__pos"	11.4909843464846	1.62196828695274
"SLC18A2__pos"	11.4935683138288	1.46270322468254
"SNRPF__pos"	5.27400067459417	7.87294930046317
"SST__pos"	4.84043099891353	8.51458344100893
"SVOPL__pos"	10.0298786079272	2.78475819632437
"TESPA1__pos"	13.3758007871745	1.81539650098547e-07
"TLDC2__pos"	12.2810598802775	1.02442567165662
"TM4SF20__pos"	7.08077921989285	6.11709521782594
"TPSB2__pos"	13.5173042002889	7.70784364928844e-08
"UBXN10__pos"	8.07576728532846	5.33801670121243
"UNC13D__pos"	13.2473770276759	3.71005511485072e-16
"AC123512.2__neg"	5.35654286487884	8.05246486250825
"ACKR1__neg"	0.27629504125816	12.5319959020362
"ALOX5__neg"	1.02206477312354	10.7673771927965
"BTK__neg"	0.311195266945975	12.2549385360973
"C19orf35__neg"	7.7467203026776	4.47802099204967
"C1orf228__neg"	2.04480618439898	10.7825018227271
"CAPG__neg"	3.78460720035059	9.53475649940786
"CCL13__neg"	1.16587791547659	11.6079025233232
"CHRM2__neg"	6.76449014770259	6.75721308330284
"CMA1__neg"	2.22044604925031e-16	12.7298056504934
"DEFB119__neg"	5.62330085196253	7.79284595738295
