"Gene"	"IS01"	"IS02"	"State"	"MaxFC"
"CTD.2369P2.12"	"CTD.2369P2.12"	0.263731862255964	-0.263731862255964	"IS01"	0.263731862255964
"OR10V1"	"OR10V1"	0.25704195402222	-0.25704195402222	"IS01"	0.25704195402222
"C19orf70"	"C19orf70"	0.224407143826757	-0.224407143826757	"IS01"	0.224407143826757
"TM4SF20"	"TM4SF20"	0.217937325368359	-0.217937325368359	"IS01"	0.217937325368359
"AC123512.2"	"AC123512.2"	0.210197437268785	-0.210197437268785	"IS01"	0.210197437268785
"MAGEB4"	"MAGEB4"	0.190297182720815	-0.190297182720815	"IS01"	0.190297182720815
"P4HA3"	"P4HA3"	0.16746831221691	-0.16746831221691	"IS01"	0.16746831221691
"IGSF10"	"IGSF10"	0.161742109594318	-0.161742109594318	"IS01"	0.161742109594318
"KITLG"	"KITLG"	0.144207640818844	-0.144207640818844	"IS01"	0.144207640818844
"PODNL1"	"PODNL1"	0.117508519975113	-0.117508519975113	"IS01"	0.117508519975113
"DEFB119"	"DEFB119"	0.100826982295815	-0.100826982295815	"IS01"	0.100826982295815
"NDUFA10"	"NDUFA10"	0.0682476113902188	-0.0682476113902188	"IS01"	0.0682476113902188
"LIF"	"LIF"	0.0319141084955785	-0.0319141084955785	"IS01"	0.0319141084955785
"PTPRN"	"PTPRN"	0.0201302137668433	-0.0201302137668433	"IS01"	0.0201302137668433
"PEPD"	"PEPD"	-0.669469738183151	0.669469738183151	"IS02"	0.669469738183151
"C19orf35"	"C19orf35"	-0.364254271700321	0.364254271700321	"IS02"	0.364254271700321
"RPL36"	"RPL36"	-0.316163138353116	0.316163138353116	"IS02"	0.316163138353116
"SNRPF"	"SNRPF"	-0.227252948629013	0.227252948629013	"IS02"	0.227252948629013
"KRT74"	"KRT74"	-0.185185205823746	0.185185205823746	"IS02"	0.185185205823746
"CHRM2"	"CHRM2"	-0.143255458318384	0.143255458318384	"IS02"	0.143255458318384
"KRT83"	"KRT83"	-0.130345643880196	0.130345643880196	"IS02"	0.130345643880196
"SST"	"SST"	-0.114276598051119	0.114276598051119	"IS02"	0.114276598051119
"KRT71"	"KRT71"	-0.0751390037818727	0.0751390037818727	"IS02"	0.0751390037818727
"SLC6A13"	"SLC6A13"	-0.0239664466931885	0.0239664466931885	"IS02"	0.0239664466931885
