"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"CD3E"	"CD3E"	1.65002502108282	-1.28094196376344	-0.45996475737372	"S01"	1.65002502108282	"IS01"
"IKZF3"	"IKZF3"	1.64181582690033	-1.27958461442389	-0.452256209211594	"S01"	1.64181582690033	"IS01"
"TIGIT"	"TIGIT"	1.6076147932719	-1.20356746320921	-0.496178444501688	"S01"	1.6076147932719	"IS01"
"CD27"	"CD27"	1.60729038774218	-1.15132531613101	-0.552271774875605	"S01"	1.60729038774218	"IS01"
"SPN"	"SPN"	1.60440871493167	-1.36959060980419	-0.313180711279264	"S01"	1.60440871493167	"IS01"
"TBC1D10C"	"TBC1D10C"	1.60067254487679	-1.33110199144696	-0.350597861047595	"S01"	1.60067254487679	"IS01"
"TRAT1"	"TRAT1"	1.59194757493771	-1.23318483082855	-0.446661007314834	"S01"	1.59194757493771	"IS01"
"TRAF3IP3"	"TRAF3IP3"	1.58127007324557	-1.33642002141407	-0.323164832387507	"S01"	1.58127007324557	"IS01"
"PTPRCAP"	"PTPRCAP"	1.58015807689191	-1.29734731978207	-0.364146203741036	"S01"	1.58015807689191	"IS01"
"CLEC9A"	"CLEC9A"	1.57966260044014	-1.05439471708411	-0.626141191659481	"S01"	1.57966260044014	"IS01"
"SCML4"	"SCML4"	1.55378443463169	-1.04552212208973	-0.606805527511133	"S01"	1.55378443463169	"IS01"
"CD247"	"CD247"	1.55255520441359	-1.41912531754139	-0.201694177499426	"S01"	1.55255520441359	"IS01"
"ITK"	"ITK"	1.55192625537627	-0.85451897567385	-0.811137810486594	"S01"	1.55192625537627	"IS01"
"LTA"	"LTA"	1.53872686959026	-1.26178741395903	-0.3562668431073	"S01"	1.53872686959026	"IS01"
"IL2RG"	"IL2RG"	1.5329089490954	-1.32907465165365	-0.277049658642237	"S01"	1.5329089490954	"IS01"
"CD48"	"CD48"	1.52509401094126	-1.50248133510075	-0.0809215422806099	"S01"	1.52509401094126	"IS01"
"HSH2D"	"HSH2D"	1.52238335028735	-1.2315924205531	-0.370630239920991	"S01"	1.52238335028735	"IS01"
"LCK"	"LCK"	1.52186849562291	-1.39020712304869	-0.198646472833728	"S01"	1.52186849562291	"IS01"
"CCR7"	"CCR7"	1.51932139736893	-1.11981867348977	-0.487997151715992	"S01"	1.51932139736893	"IS01"
"UBASH3A"	"UBASH3A"	1.49202387498061	-1.26917205630173	-0.296086841398769	"S01"	1.49202387498061	"IS01"
"SIT1"	"SIT1"	1.48370122855363	-1.22113825422868	-0.338692790595532	"S01"	1.48370122855363	"IS01"
"ITGAL"	"ITGAL"	1.47268394624058	-1.18474502094287	-0.365707478598133	"S01"	1.47268394624058	"IS01"
"PYHIN1"	"PYHIN1"	1.47240806451261	-1.18612321113572	-0.363909773980999	"S01"	1.47240806451261	"IS01"
"HLA.DOB"	"HLA.DOB"	1.46961174318265	-1.18865104701091	-0.358052611124858	"S01"	1.46961174318265	"IS01"
"ZBP1"	"ZBP1"	1.4624369467516	-1.20883359224372	-0.328222935862275	"S01"	1.4624369467516	"IS01"
"C16orf54"	"C16orf54"	1.45946216058891	-1.5373236227774	0.0300874918740579	"S01"	1.45946216058891	"IS01"
"CXorf65"	"CXorf65"	1.45597595165241	-1.08548260345268	-0.454301797539585	"S01"	1.45597595165241	"IS01"
"LTB"	"LTB"	1.45164206053596	-1.43693456371517	-0.0696583012755731	"S01"	1.45164206053596	"IS01"
"PRKCQ"	"PRKCQ"	1.43778668827283	-0.791748780848782	-0.751397673596755	"S01"	1.43778668827283	"IS01"
"LY9"	"LY9"	1.43520177364451	-1.28387914373986	-0.216683697842636	"S01"	1.43520177364451	"IS01"
"C11orf21"	"C11orf21"	1.43444356691885	-0.907805375823625	-0.622243543555044	"S01"	1.43444356691885	"IS01"
"PVRIG"	"PVRIG"	1.4302034635671	-0.859321126066824	-0.669899312755872	"S01"	1.4302034635671	"IS01"
"ADGRG5"	"ADGRG5"	1.42994401944302	-1.18035468408258	-0.322681710455299	"S01"	1.42994401944302	"IS01"
"ZNF831"	"ZNF831"	1.42939639776185	-1.08684968035839	-0.423116607283965	"S01"	1.42939639776185	"IS01"
"MAP4K1"	"MAP4K1"	1.42002135328027	-1.0395928254144	-0.463706681469544	"S01"	1.42002135328027	"IS01"
"CD69"	"CD69"	1.40044109603089	-1.32327729096708	-0.135255905654462	"S01"	1.40044109603089	"IS01"
"TLR10"	"TLR10"	1.39928826809126	-0.83097498061899	-0.665978039930198	"S01"	1.39928826809126	"IS01"
"PTPN7"	"PTPN7"	1.39845426071168	-1.42144772857855	-0.0269465172204295	"S01"	1.39845426071168	"IS01"
"FLT3"	"FLT3"	1.39511788388461	-0.962392567355458	-0.519299296607069	"S01"	1.39511788388461	"IS01"
"RLTPR"	"RLTPR"	1.39279995031644	-0.716089935008924	-0.782877570257618	"S01"	1.39279995031644	"IS01"
"CD40LG"	"CD40LG"	1.38990838624212	-1.26390434358862	-0.187645420069904	"S01"	1.38990838624212	"IS01"
"MCOLN2"	"MCOLN2"	1.37992302622181	-0.910243216241352	-0.5586717092052	"S01"	1.37992302622181	"IS01"
"CARD11"	"CARD11"	1.37664886311907	-1.11037877717459	-0.338734009617667	"S01"	1.37664886311907	"IS01"
