"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"S1PR4"	"S1PR4"	1.33447836906812	-1.37966301697941	-0.000595953827607296	"IS01"	1.33447836906812
"CD3G"	"CD3G"	1.33107521317484	-1.03485724205019	-0.369409531423489	"IS01"	1.33107521317484
"CD52"	"CD52"	1.32703491148097	-1.43828533432279	0.0710742668104164	"IS01"	1.32703491148097
"CD5"	"CD5"	1.32506311067786	-1.17603328831517	-0.210126746290301	"IS01"	1.32506311067786
"NLRC3"	"NLRC3"	1.3163681761017	-0.705512570176811	-0.708880640744002	"IS01"	1.3163681761017
"TBX21"	"TBX21"	1.31226934924836	-1.18158388567469	-0.189828917192102	"IS01"	1.31226934924836
"PTK2B"	"PTK2B"	1.31097742047662	-1.02253172760809	-0.360265990664877	"IS01"	1.31097742047662
"NBEAL2"	"NBEAL2"	1.31072146487144	-0.94872468401368	-0.439740114555933	"IS01"	1.31072146487144
"STAT4"	"STAT4"	1.29937786869044	-1.2975827277723	-0.0500650404251734	"IS01"	1.29937786869044
"PCED1B"	"PCED1B"	1.29615440682221	-1.3599495209623	0.0209350095135352	"IS01"	1.29615440682221
"SP140"	"SP140"	1.28326306997259	-1.13759923626338	-0.204941112599968	"IS01"	1.28326306997259
"GPR132"	"GPR132"	1.27982466009498	-1.33307480374261	0.0101443036255739	"IS01"	1.27982466009498
"CCDC64"	"CCDC64"	1.27717011455847	-0.484541035667678	-0.903863897727359	"IS01"	1.27717011455847
"FGD3"	"FGD3"	1.274937156534	-1.64207701994898	0.349532895983404	"IS01"	1.274937156534
"TMEM156"	"TMEM156"	1.27384093732768	-0.889802255280986	-0.462193935561362	"IS01"	1.27384093732768
"P2RY10"	"P2RY10"	1.26588327960681	-1.10659184008578	-0.219024203846432	"IS01"	1.26588327960681
"CCL22"	"CCL22"	1.26505074491667	-0.80343778641273	-0.545699669166192	"IS01"	1.26505074491667
"FCRL3"	"FCRL3"	1.25492095014654	-0.656963192970442	-0.692666648501074	"IS01"	1.25492095014654
"KLRG1"	"KLRG1"	1.2534998413241	-0.96188414126683	-0.361562886448375	"IS01"	1.2534998413241
"GPR55"	"GPR55"	1.24758006985751	-0.870289423780578	-0.453928988841648	"IS01"	1.24758006985751
"CD79A"	"CD79A"	1.2463388786534	-0.930831207082809	-0.387116726182379	"IS01"	1.2463388786534
"SPNS3"	"SPNS3"	1.24512550239348	-0.948504996287839	-0.366661211625028	"IS01"	1.24512550239348
"LAX1"	"LAX1"	1.24369385819845	-0.521082408513823	-0.826958894695344	"IS01"	1.24369385819845
"SEPT1"	"SEPT1"	1.24081592668591	-0.928625811771395	-0.383327026817793	"IS01"	1.24081592668591
"RASAL3"	"RASAL3"	1.23954783192965	-1.25095622232555	-0.0335806056354059	"IS01"	1.23954783192965
"SLC12A3"	"SLC12A3"	1.23911887567174	-0.604090904166467	-0.732141626330578	"IS01"	1.23911887567174
"LY75"	"LY75"	1.23774512323297	-0.677760350154611	-0.650994681150102	"IS01"	1.23774512323297
"PRKCB"	"PRKCB"	1.23694704293808	-1.22638351523224	-0.0572284187736487	"IS01"	1.23694704293808
"CCR6"	"CCR6"	1.23541193111095	-0.864425628652222	-0.44666547492041	"IS01"	1.23541193111095
"TNFSF14"	"TNFSF14"	1.23430109904993	-1.18252188106614	-0.101670504255113	"IS01"	1.23430109904993
"NUP210"	"NUP210"	1.23107326660982	-0.445170457210761	-0.894887807192101	"IS01"	1.23107326660982
"LILRA4"	"LILRA4"	1.22187665750016	-1.16157109299178	-0.110424408055143	"IS01"	1.22187665750016
"NCR3"	"NCR3"	1.22088418467437	-1.25673230680162	-0.00647835716647851	"IS01"	1.22088418467437
"STAP1"	"STAP1"	1.22051338526821	-1.07053684134926	-0.20727761687461	"IS01"	1.22051338526821
"IL16"	"IL16"	1.21997808058739	-1.2433945308547	-0.0198791888275296	"IS01"	1.21997808058739
"DENND2D"	"DENND2D"	1.21926319836617	-1.19216528511643	-0.0744414847929127	"IS01"	1.21926319836617
"IPCEF1"	"IPCEF1"	1.21715490935795	-0.751899141373532	-0.547862382127286	"IS01"	1.21715490935795
"KCNA3"	"KCNA3"	1.21712096479887	-0.924765977255442	-0.361014437909853	"IS01"	1.21712096479887
"RASGRP1"	"RASGRP1"	1.21184416626348	-0.834834231827963	-0.452302083453247	"IS01"	1.21184416626348
"CORO1A"	"CORO1A"	1.19852442102344	-1.55778386804556	0.34384695884279	"IS01"	1.19852442102344
"PARP15"	"PARP15"	1.19795238274751	-1.01057506752997	-0.246859483213398	"IS01"	1.19795238274751
"PTPRC"	"PTPRC"	1.19234797077644	-1.40511580250303	0.185768316355607	"IS01"	1.19234797077644
"PIM2"	"PIM2"	1.18373352974118	-0.541989967319449	-0.737347577200073	"IS01"	1.18373352974118
"TREML2"	"TREML2"	1.17914559637585	-1.03228285155191	-0.202380523284557	"IS01"	1.17914559637585
"CLECL1"	"CLECL1"	1.17762173695733	-1.29535707891291	0.0836160706375247	"IS01"	1.17762173695733
"SEMA4D"	"SEMA4D"	1.17362365440277	-0.533076836446082	-0.735679865370581	"IS01"	1.17362365440277
"BLK"	"BLK"	1.17324654009314	-0.662405101617784	-0.595498685615086	"IS01"	1.17324654009314
"CD37"	"CD37"	1.166733761285	-1.34143267911606	0.145577497822521	"IS01"	1.166733761285
"TNFRSF13B"	"TNFRSF13B"	1.16403479128886	-0.72387345561602	-0.518776460367434	"IS01"	1.16403479128886
"ARHGAP25"	"ARHGAP25"	1.16398564754694	-1.15896608700906	-0.0485350099801314	"IS01"	1.16398564754694
"CD6"	"CD6"	1.16074634185448	-0.705490156830467	-0.534967042238669	"IS01"	1.16074634185448
"CCL19"	"CCL19"	1.15792250794907	-1.11598186757457	-0.0882095256538533	"IS01"	1.15792250794907
"TCL1A"	"TCL1A"	1.15785115371515	-0.601503054702281	-0.644105642733395	"IS01"	1.15785115371515
"KLHL6"	"KLHL6"	1.15435135202272	-1.1499247587214	-0.0475373891733804	"IS01"	1.15435135202272
"TMC8"	"TMC8"	1.15065726383639	-1.51568973539801	0.351858484187464	"IS01"	1.15065726383639
"PSD4"	"PSD4"	1.15063706050506	-0.588314340524681	-0.650294978647704	"IS01"	1.15063706050506
"POU2AF1"	"POU2AF1"	1.14709704573137	-0.673871869230268	-0.553879854982605	"IS01"	1.14709704573137
"SYTL1"	"SYTL1"	1.14475466435785	-0.42219971197869	-0.823233425818879	"IS01"	1.14475466435785
"GAPT"	"GAPT"	1.14203662463925	-0.934722036706756	-0.266333911163894	"IS01"	1.14203662463925
"SNX20"	"SNX20"	1.13568753010253	-1.7527735427785	0.624796704353031	"IS01"	1.13568753010253
"IL7R"	"IL7R"	1.13477298356082	-0.919183334003438	-0.275007402575369	"IS01"	1.13477298356082
"P2RX5"	"P2RX5"	1.13410698442046	-0.538864667136881	-0.685257594150013	"IS01"	1.13410698442046
"SUSD3"	"SUSD3"	1.13335622846194	-1.24704360017092	0.0808810607185997	"IS01"	1.13335622846194
"ZC3H12D"	"ZC3H12D"	1.11555839775125	-1.25702522455602	0.111560342136509	"IS01"	1.11555839775125
"CLEC2D"	"CLEC2D"	1.11184647477447	-0.566548792801973	-0.630460039337235	"IS01"	1.11184647477447
"ATP2A3"	"ATP2A3"	1.1072185244666	-0.285623214681529	-0.928871996171849	"IS01"	1.1072185244666
"CD53"	"CD53"	1.10699731594335	-1.22478451972156	0.0862878348504867	"IS01"	1.10699731594335
"MZB1"	"MZB1"	1.10615961642448	-0.766266194798392	-0.40827756817626	"IS01"	1.10615961642448
"CD1C"	"CD1C"	1.09694381499467	-0.979953391981864	-0.167054236288541	"IS01"	1.09694381499467
"PLCG2"	"PLCG2"	1.09218649543607	-1.04011646489834	-0.0967212694573339	"IS01"	1.09218649543607
"IRF5"	"IRF5"	1.08926356474301	-1.16322584104277	0.0395848628544505	"IS01"	1.08926356474301
"GCSAM"	"GCSAM"	1.08494465119043	-0.413700643663872	-0.765568634720934	"IS01"	1.08494465119043
"FCMR"	"FCMR"	1.08169318450979	-0.972733770749921	-0.157810620221934	"IS01"	1.08169318450979
"SPIB"	"SPIB"	1.0774210301801	-0.272217140272267	-0.910054859100481	"IS01"	1.0774210301801
"ARHGAP15"	"ARHGAP15"	1.07601421018312	-1.1295259900992	0.0179755782482145	"IS01"	1.07601421018312
"CXCL13"	"CXCL13"	1.07299636501192	-0.945987128790048	-0.176994208711814	"IS01"	1.07299636501192
"NCF1"	"NCF1"	1.06946164059196	-1.16387005069471	0.0624135544347951	"IS01"	1.06946164059196
"TNFRSF17"	"TNFRSF17"	1.06497058053097	-0.878581597430189	-0.240866181839683	"IS01"	1.06497058053097
"WDFY4"	"WDFY4"	1.05594028548611	-1.57695008116141	0.523924731584186	"IS01"	1.05594028548611
"APOBEC3G"	"APOBEC3G"	1.05557602334127	-0.78590411817281	-0.330518627602092	"IS01"	1.05557602334127
"SERPINB9"	"SERPINB9"	1.04902577213055	-0.808302416080487	-0.298992531884447	"IS01"	1.04902577213055
"SASH3"	"SASH3"	1.0474450867542	-1.70364853058943	0.670337524980839	"IS01"	1.0474450867542
"HCLS1"	"HCLS1"	1.0463551110328	-0.977872673704215	-0.112760016632847	"IS01"	1.0463551110328
"LIMD2"	"LIMD2"	1.04571329729299	-0.655579302113985	-0.460331715266028	"IS01"	1.04571329729299
"BLNK"	"BLNK"	1.04021091998317	-1.48914446746835	0.446617495019587	"IS01"	1.04021091998317
"CCR4"	"CCR4"	1.03527623961092	-0.727993371661896	-0.370411387983173	"IS01"	1.03527623961092
"P2RY8"	"P2RY8"	1.02925226008208	-1.05781097428536	-0.00725823864592343	"IS01"	1.02925226008208
"FCRL5"	"FCRL5"	1.0291893745041	-0.500752816444329	-0.60917754945281	"IS01"	1.0291893745041
"SLFN14"	"SLFN14"	1.02582003416992	-0.627909475879742	-0.467998736273786	"IS01"	1.02582003416992
"DENND1C"	"DENND1C"	1.02506207064878	-1.63109142719963	0.616945474874135	"IS01"	1.02506207064878
"NUGGC"	"NUGGC"	1.02107464076661	-0.385758944055455	-0.724376846597735	"IS01"	1.02107464076661
"CNR2"	"CNR2"	1.01778655280681	-0.429259881441689	-0.673692110599758	"IS01"	1.01778655280681
"CYTIP"	"CYTIP"	1.01668389789156	-1.04435123295671	-0.00775602013545404	"IS01"	1.01668389789156
"PLD4"	"PLD4"	1.01661141695859	-0.238664331770614	-0.878347355238641	"IS01"	1.01661141695859
"ADAMDEC1"	"ADAMDEC1"	1.0137558411894	-1.20986932974044	0.174385183221397	"IS01"	1.0137558411894
"ITGAX"	"ITGAX"	1.00699971099997	-1.04946596811524	0.00859523341345407	"IS01"	1.00699971099997
"PKHD1L1"	"PKHD1L1"	1.00519609319948	-0.467868563750231	-0.617897012642667	"IS01"	1.00519609319948
"ZBTB32"	"ZBTB32"	1.00085349838824	-0.499447088983747	-0.578917714383187	"IS01"	1.00085349838824
"FUT7"	"FUT7"	0.996764651664555	-1.20672555695218	0.18997881425329	"IS01"	0.996764651664555
"IL24"	"IL24"	0.957360902483791	-0.87577553558821	-0.123623726210427	"IS01"	0.957360902483791
"FAM159A"	"FAM159A"	0.951250738681886	-0.101918541903336	-0.953069512436973	"IS01"	0.951250738681886
"JAK3"	"JAK3"	0.948181168577364	-0.656157603524318	-0.350695550206281	"IS01"	0.948181168577364
"FCRLA"	"FCRLA"	0.94711631716064	-1.2121227904464	0.251303098890511	"IS01"	0.94711631716064
"TMIGD2"	"TMIGD2"	0.946829375396471	-0.794937947543126	-0.19921050754262	"IS01"	0.946829375396471
"CYFIP2"	"CYFIP2"	0.94438853449489	-0.349103944045837	-0.678276667746401	"IS01"	0.94438853449489
"PACSIN1"	"PACSIN1"	0.936136892622512	-0.108180945734199	-0.929409315582196	"IS01"	0.936136892622512
"CLEC17A"	"CLEC17A"	0.931442559477756	-0.509611401422459	-0.490353272183625	"IS01"	0.931442559477756
"VAV1"	"VAV1"	0.929845784565312	-1.21225788559156	0.270752286701254	"IS01"	0.929845784565312
"CD19"	"CD19"	0.925656389676558	-0.849958823881328	-0.1160867830655	"IS01"	0.925656389676558
"FCHO1"	"FCHO1"	0.921463260376132	-0.451192702896289	-0.542330114146469	"IS01"	0.921463260376132
"IRF4"	"IRF4"	0.920286524671583	-0.64141107687876	-0.335453791409215	"IS01"	0.920286524671583
"SYNGR2"	"SYNGR2"	0.91162310009057	-1.00041141602794	0.0621860241330818	"IS01"	0.91162310009057
"ARL11"	"ARL11"	0.907631889535742	-1.13017329217818	0.206875248263712	"IS01"	0.907631889535742
"PAX5"	"PAX5"	0.90512673030581	-0.187187716881528	-0.809370063777649	"IS01"	0.90512673030581
"CSF2RB"	"CSF2RB"	0.901693567979106	-1.08279690521322	0.162314791135253	"IS01"	0.901693567979106
"LRMP"	"LRMP"	0.901170733100886	-0.867023297205415	-0.0702784084940681	"IS01"	0.901170733100886
"LTF"	"LTF"	0.896798285612464	-0.805251711001251	-0.132145329479081	"IS01"	0.896798285612464
"PNOC"	"PNOC"	0.895936376276959	-0.235971430866214	-0.746379514614627	"IS01"	0.895936376276959
"CCDC88C"	"CCDC88C"	0.890984656526318	-0.189997377603119	-0.790527248370242	"IS01"	0.890984656526318
"ACY3"	"ACY3"	0.889732029522817	-0.371917051008269	-0.592534163060189	"IS01"	0.889732029522817
"POU2F2"	"POU2F2"	0.88654067783716	-1.09225394026229	0.189470932560928	"IS01"	0.88654067783716
"RHOF"	"RHOF"	0.881792936957723	-0.404768316634186	-0.548159677899508	"IS01"	0.881792936957723
