"IS01"	"IS02"	"IS03"
"ACSL4__pos"	6.69984096916946	10.8019568521177	2.22044604925031e-16
"AL365273.1__pos"	10.1333164041379	7.23547764409574	2.22044604925031e-16
"AQP9__pos"	8.67434858993199	9.07401267879518	2.22044604925031e-16
"ASCL1__pos"	7.99758372229906	7.0256797730598	2.71519811893478
"ATF5__pos"	13.4840164102781	4.4854213318273	2.22044604925031e-16
"CALR3__pos"	5.33657183337296	6.72629615993096	6.38283716564992
"CLDN14__pos"	10.1512668739698	6.00613813383166	1.20544315409067
"CTSB__pos"	9.65385920693404	7.45050239302155	0.0183947029461569
"CXCL3__pos"	9.04951082943316	7.00628868014937	0.61760302520824
"FBXO39__pos"	8.8522738772069	4.53330371052975	4.51865205467145
"FCAR__pos"	12.0641906311506	6.4730971200622	2.22044604925031e-16
"FPR2__pos"	10.5004811042168	7.6645487525718	2.22044604925031e-16
"GFPT2__pos"	9.53367621731691	8.27799883783182	2.22044604925031e-16
"GPR139__pos"	2.22044604925031e-16	15.8695229750603	2.9707326507556
"HEPACAM2__pos"	8.0573104521941	6.88648005001362	3.25389774089027
"ITGB3__pos"	8.93603804132787	7.68948030994601	1.08718963641216
"KCNH1__pos"	6.87787120398018	6.09069867165817	5.39099493878271
"KRTAP19.1__pos"	2.22044604925031e-16	17.2395177236104	1.44106885715461
"LAMP1__pos"	10.7685110736056	7.01477378141391	2.22044604925031e-16
"MS4A6E__pos"	9.07338589724614	8.55511956362537	2.22044604925031e-16
"PCID2__pos"	8.7510318922093	4.32145437613264	3.93021022162553
"PLAU__pos"	12.4943362154714	5.26934648367958	2.22044604925031e-16
"PRR21__pos"	2.22044604925031e-16	16.7596014944216	2.00439028411361
"RPTN__pos"	10.226563559953	7.02860735430796	1.63666373315958
"SAMD9__pos"	10.4008081172253	7.70275786692589	2.22044604925031e-16
"SPANXA1__pos"	3.47135398947197	12.7316839735159	2.89234710574445
"TMEM255B__pos"	10.2820373778365	4.85600655591534	2.57834710996861
"TRIM7__pos"	10.3839632499516	6.74151613535041	1.20335295926673
"ZNF385A__pos"	9.98276023098931	5.80664085885524	2.10274990258089
"ADPRHL1__pos"	6.76445237905597	4.4253800157616	6.28420658271897
"APOL1__pos"	10.4740340919725	4.77306831284652	2.22044604925031e-16
"CCL26__pos"	10.2409074899648	8.40942258415751	2.22044604925031e-16
"CCL7__pos"	7.62484175462303	7.75836043787923	0.496784389120328
"FCGR3B__pos"	10.0728202655624	7.11773142469721	2.22044604925031e-16
"HK2__pos"	7.35272717534648	8.18680543198787	2.97772954255471
"HRG__pos"	4.84779112764527	5.93351782589692	7.73628739133314
"ITGA5__pos"	9.95128289447665	7.87502085683288	2.22044604925031e-16
"KIAA1919__pos"	5.4972193676406	3.30218800487033	6.84781021952451
"MARCH1__pos"	8.20327287315707	6.14261281144101	2.97580692313485
"NXF5__pos"	4.26413901006515	6.22634640610069	8.58828496152353
"OR2AK2__pos"	2.22044604925031e-16	18.6245319652069	2.22044604925031e-16
"OR52E8__pos"	2.22044604925031e-16	3.26805355876862	2.22044604925031e-16
"OR6B2__pos"	2.22044604925031e-16	18.782277496249	2.22044604925031e-16
"PAX8__pos"	6.18237287932596	7.42445965584521	4.22187187209415
"PIK3AP1__pos"	1.17394820774016	1.70712992979788	13.6479389148501
"SLAMF9__pos"	10.0561601567314	8.02415509121814	0.237185227147233
"SLC12A8__pos"	11.8032520054373	6.08491071769405	2.22044604925031e-16
"SPANXA2__pos"	2.22044604925031e-16	19.1135847102112	2.22044604925031e-16
"STC2__pos"	9.28516235940465	4.96994500891717	4.29658040409464
"TREM1__pos"	7.52339871072218	7.23708188075496	0.189017706339442
"VNN2__pos"	11.1293416310582	6.70013444288429	2.22044604925031e-16
"XXbac.BPG116M5.17__pos"	10.2477917098418	7.9734107750754	2.22044604925031e-16
"ACSL4__neg"	1.17713298310463	2.22044604925031e-16	16.82524071272
"AL365273.1__neg"	5.12616786124489	2.22044604925031e-16	12.6412789630112
"AQP9__neg"	1.69201924452241	2.22044604925031e-16	16.5903384740111
"ASCL1__neg"	3.48967330765982	3.00470709982828	11.5491956274311
"ATF5__neg"	1.25223048111058	4.10606464129289	13.2118222406607
"CALR3__neg"	9.11232715894684	3.93776136156842	5.27288818665319
"CLDN14__neg"	2.64186869988075	1.37065524534562	13.8140861054107
"CTSB__neg"	7.11582818560339	3.07727183428515	7.14695212285642
"CXCL3__neg"	2.22044604925031e-16	2.22044604925031e-16	17.2629180735026
"FBXO39__neg"	3.96922010355962	4.39392199958353	9.78062473980618
"FCAR__neg"	2.33940720069842	2.79648412565653	13.9517807449695
"FPR2__neg"	2.22044604925031e-16	2.22044604925031e-16	18.8390313923458
"GFPT2__neg"	4.51695931262003	0.515988944449175	13.1892034551518
"GPR139__neg"	12.9933186570603	2.22044604925031e-16	5.55995349071215
"HEPACAM2__neg"	5.86792349827702	2.71359069093915	9.8122594080623
"ITGB3__neg"	5.56639051278763	1.05087624819127	11.401897123724
"KCNH1__neg"	7.60272421332775	4.04128549581067	6.72466190376402
"KRTAP19.1__neg"	12.2827226484982	2.22044604925031e-16	6.17485981754726
"LAMP1__neg"	1.81942320004225	3.53996759525137	12.9323503537053
"MS4A6E__neg"	3.00117826513036	2.27218057121183e-15	15.1060427417509
"PCID2__neg"	5.16458094246715	4.42666992329256	7.58289936432163
"PLAU__neg"	2.58742130595962	2.34678655079162	13.3724120541723
"PRR21__neg"	12.9292796757681	2.22044604925031e-16	5.5700348373792
"RPTN__neg"	5.48294144464691	2.68630403085606	11.0460542094099
"SAMD9__neg"	4.61389410248874	2.32300341491114	11.5630533784248
"SPANXA1__neg"	11.9058370257299	2.22044604925031e-16	7.05568804334473
"TMEM255B__neg"	4.00854983966504	4.24195338180885	9.78301760873057
"TRIM7__neg"	4.47206809489507	3.02729292754051	11.1959748746126
"ZNF385A__neg"	2.10178568890407	3.75696093837809	12.4593740266662
"ADPRHL1__neg"	8.25885914823865	4.89875910025651	4.23381968586317
"APOL1__neg"	2.22044604925031e-16	2.38349189572785	13.4225187775844
"CCL26__neg"	4.20589493938963	2.45118708044172	12.4141318356743
"CCL7__neg"	3.98979708361444	2.22044604925031e-16	12.2336606855082
"FCGR3B__neg"	2.22044604925031e-16	2.22044604925031e-16	17.8320397225733
"HK2__neg"	6.43748015614243	2.37103950666448	9.87855637937583
"HRG__neg"	7.45504061457131	5.00414161427299	5.95217384695854
"ITGA5__neg"	3.3301838660104	2.27075775982652	12.6669980424268
"KIAA1919__neg"	3.81840853671336	2.79802502124749	9.12298160322162
"MARCH1__neg"	9.2938932742333	5.22735239914243	2.76736599971966
"NXF5__neg"	10.1745767574823	3.39465580921737	5.2843387440903
"OR2AK2__neg"	11.3338541750382	2.22044604925031e-16	7.14351876170652
"OR52E8__neg"	1.25647989002359	0.822873933475903	1.18059410648657
"OR6B2__neg"	12.7488579751737	2.22044604925031e-16	5.82112271735086
"PAX8__neg"	6.71704814930629	0.581333720069505	10.6520699434653
"PIK3AP1__neg"	9.23031644035331	6.7986056281418	2.22044604925031e-16
"SLAMF9__neg"	3.78300035512867	1.91869602633779	13.0513999526291
"SLC12A8__neg"	1.45574028618456	1.51415107472862	15.5181119826465
"SPANXA2__neg"	11.6575238456949	2.22044604925031e-16	7.30377536872318
"STC2__neg"	4.33528839039619	4.41947044996899	10.048572524029
"TREM1__neg"	0.0971743311320307	2.22044604925031e-16	15.3681888089266
"VNN2__neg"	8.99784116321494e-14	2.50257051078092	15.9565651625038
"XXbac.BPG116M5.17__neg"	0.676035449239388	3.99106829801076e-11	18.1808461021297
