"TCGA.3B.A9HI"	"TCGA.3B.A9HL"	"TCGA.3B.A9HO"	"TCGA.DX.A1KU"	"TCGA.DX.A1KZ"	"TCGA.DX.A1L2"	"TCGA.DX.A1L3"	"TCGA.DX.A23T"	"TCGA.DX.A23Y"	"TCGA.DX.A23Z"	"TCGA.DX.A2J1"	"TCGA.DX.A3LS"	"TCGA.DX.A3LT"	"TCGA.DX.A3M1"	"TCGA.DX.A3U5"	"TCGA.DX.A6BE"	"TCGA.DX.A6YR"	"TCGA.DX.A6YS"	"TCGA.DX.A6YT"	"TCGA.DX.A6YU"	"TCGA.DX.A6YV"	"TCGA.DX.A6YZ"	"TCGA.DX.A7EF"	"TCGA.DX.A7ES"	"TCGA.DX.A8BH"	"TCGA.DX.A8BK"	"TCGA.DX.A8BP"	"TCGA.DX.A8BQ"	"TCGA.DX.A8BV"	"TCGA.DX.A8BX"	"TCGA.DX.AB2E"	"TCGA.DX.AB2F"	"TCGA.DX.AB2O"	"TCGA.DX.AB2P"	"TCGA.DX.AB2S"	"TCGA.DX.AB2T"	"TCGA.DX.AB2X"	"TCGA.DX.AB2Z"	"TCGA.DX.AB32"	"TCGA.DX.AB35"	"TCGA.DX.AB37"	"TCGA.FX.A3NK"	"TCGA.IE.A4EJ"	"TCGA.IE.A6BZ"	"TCGA.K1.A6RU"	"TCGA.LI.A67I"	"TCGA.LI.A9QH"	"TCGA.MJ.A68J"	"TCGA.QC.AA9N"	"TCGA.QQ.A5V9"	"TCGA.QQ.A5VA"	"TCGA.QQ.A8VG"	"TCGA.RN.A68Q"	"TCGA.RN.AAAQ"	"TCGA.SG.A6Z4"	"TCGA.SG.A849"	"TCGA.SI.A71O"	"TCGA.UE.A6QT"	"TCGA.UE.A6QU"	"TCGA.VT.AB3D"	"TCGA.WK.A8XO"	"TCGA.WK.A8Y0"	"TCGA.X6.A8C3"	"TCGA.X9.A973"	"TCGA.3B.A9HJ"	"TCGA.3R.A8YX"	"TCGA.DX.A1KX"	"TCGA.DX.A1L1"	"TCGA.DX.A1L4"	"TCGA.DX.A23U"	"TCGA.DX.A23V"	"TCGA.DX.A2J0"	"TCGA.DX.A2J4"	"TCGA.DX.A3LY"	"TCGA.DX.A3M2"	"TCGA.DX.A3U6"	"TCGA.DX.A48N"	"TCGA.DX.A6BF"	"TCGA.DX.A6BG"	"TCGA.DX.A6YQ"	"TCGA.DX.A6YX"	"TCGA.DX.A8BG"	"TCGA.DX.A8BM"	"TCGA.DX.A8BN"	"TCGA.DX.A8BO"	"TCGA.DX.A8BR"	"TCGA.DX.A8BS"	"TCGA.DX.A8BT"	"TCGA.DX.AATS"	"TCGA.DX.AB2G"	"TCGA.DX.AB2Q"	"TCGA.DX.AB2V"	"TCGA.DX.AB2W"	"TCGA.DX.AB36"	"TCGA.FX.A2QS"	"TCGA.FX.A3TO"	"TCGA.HB.A2OT"	"TCGA.MB.A5Y8"	"TCGA.MB.A5Y9"	"TCGA.MB.A8JK"	"TCGA.QC.A6FX"	"TCGA.SG.A6Z7"	"TCGA.SI.A71P"	"TCGA.VT.A80G"	"TCGA.VT.A80J"	"TCGA.X6.A7W8"	"TCGA.X6.A8C2"	"TCGA.X6.A8C6"	"TCGA.Z4.AAPG"
"APOL1"	0.643118361558459	0.207617024602118	0.808533018251843	0.664670866365729	0.687568127749235	0.57671977191065	0.550594532401006	0.59134904616606	0.81262094308823	0.385602987737954	0.520521880313303	-1.54536106420127	0.517240790606573	0.615512854962098	0.669582807507456	0.79027490956279	0.740830572227333	-0.88381797365628	0.78586579045119	0.773031252681563	0.749779096252247	0.0958029152253567	-0.15240160882174	0.641009139122164	0.764489212152984	0.754035202597474	0.827960061319274	0.843033586871545	0.702188444396433	0.78572319836886	-0.137822506955452	0.493893530755247	0.575900810890099	0.121230714684914	0.822393089295042	0.709877540550074	-1.03024627808041	0.8255923634949	0.756224891610814	0.66258697532167	0.462240610450891	-0.282379143591557	0.836792885557975	0.642631838896203	0.692069262470936	0.642060516249762	0.642224169974071	0.326131599404218	0.428305016465797	0.597624533744149	0.842697303485892	0.301735190937609	-0.0958196248760844	0.648995739443823	0.0823633000792368	0.812915535951079	0.583729003508609	0.774748563686634	0.850286365656344	0.836734583070946	0.587305229062298	-0.204285695513886	0.50458348891944	0.166444846337548	-0.39211501386522	-0.125492286014806	0.830029750483868	0.850271731632803	-2.49351249974524	0.666453262138769	0.655077564299092	-0.366000748115173	-2.49351249974524	0.827466791456571	0.817694080578141	0.7228261173472	0.0386473682952069	0.560669033075092	0.675752969997733	0.825219954445421	-0.0758372084538981	0.858673568551885	0.707877422917901	0.252698417847791	0.803882134586369	0.817168203017595	-0.274797487645637	0.637173654105941	-2.49351249974524	0.658061407883229	-0.161130991702878	0.83943251629869	0.0368545459409579	-0.184431875801138	0.574558291840053	0.693355752790478	-0.701200393360238	0.0304577394363503	0.86434706874736	0.172219419514185	0.871627572452304	-0.638532779453518	0.61039303308759	-2.49351249974524	0.553406715856812	-1.44305245745514	-0.327747258744146	-2.49351249974524	0.531121249114557
"LAMP1"	1.33223238039458	0.0330233055399091	-0.569705347588507	-0.179671777287109	1.42919394380707	-0.576133356200709	1.3365797658036	0.213269555946731	-0.487390402796287	1.41851833039039	-0.435827652899011	-0.321164949205755	-0.622116356015549	-0.403820113403239	1.34431330808547	1.37047752697894	1.39435169651404	-1.04382466720277	-0.538666420451212	1.31082775083948	1.41275144945498	-0.527281943234632	1.28245075412884	1.43448858369797	-0.74518232448591	1.36796648612406	-0.464193915236225	-0.131486079332375	1.36345554228263	-0.100316382835092	-0.453108417998478	1.39325253662029	1.39683100907904	1.41623342776857	0.216783343204409	1.43899860055141	-0.940783818330437	1.42986324716526	0.426757954367898	-0.616552088582564	-0.731078337980823	1.34191024090334	-1.05400523262679	1.30451396449438	0.169199310386048	1.3246713922324	1.28217563487479	1.28515010268733	1.40722540293079	-0.591718402640346	-0.616218905134352	1.28419227505778	1.31733942067017	0.194121107401204	1.4210381146788	-0.597645059453405	1.30717307190102	0.160266659105699	-0.187292467455029	-0.632946041775941	-0.695191460585631	1.43350753466619	-0.89241512551096	-0.0784419993298028	-0.678942511513655	-0.644001809424286	-1.00160563784421	-0.965471888210631	1.30169391545504	1.36345978425032	1.35678821189405	-0.71476476132674	-0.441658116587762	-0.165151547060282	0.128203175391916	1.27407115611022	0.199308996951508	-0.470008640297344	1.3166997421895	-1.09935156901294	-0.815462813113434	1.40439104987391	1.29393297272812	1.35399423000984	-0.655671587710987	1.35473617857416	1.39641203377806	-0.963662277339617	-1.06751442643628	1.29064180661614	-1.11357003846499	-0.411172868021368	-0.701011189498036	0.0857375435750802	1.26866244623614	-1.25885125898778	-0.147273098502882	-1.0672206548481	-1.03329309790927	-0.70991781557447	-1.09145190210322	-1.0721275160055	1.34135246475091	-0.219478322279655	0.212170213289414	1.9597281243314	1.39962340364719	1.41814918184455	-0.971171109280229
"FCGR3B"	0.933719552165595	0.196258036302687	0.00373727170346752	1.0573484522489	0.293776062550816	-0.108712797760705	0.8414006787022	0.816250058022518	1.06765946559159	-0.517555170448603	-0.00878783506097111	0.98686998732074	-0.288271772172518	0.412080824260978	1.12419841889958	0.746486304755332	0.254279844490599	-1.5168600868456	0.0367051599644597	1.10088615963174	-1.32464774320183	-1.8895756723059	0.189971730516482	1.09645003076697	0.3385818413934	-0.547157072147176	0.96668356752772	0.890575885192632	0.350450930038821	0.989824624378934	1.00907935834407	0.345809845191292	0.169403023550707	0.860703942584179	-1.28560300891454	0.828463603106923	0.0729555665524618	1.07634460912606	1.00391215717341	-1.52053195986076	0.589854538857552	0.745403839368313	0.784639874068304	-0.225390977336744	-0.0260828292538884	0.478486159160242	-1.50813717480263	-0.23078153158212	0.86136280866569	0.115786169145306	1.04985289818826	1.05090642762092	1.0747393595886	-0.108748164995938	1.03610731453379	0.93578085681121	1.00681018345575	0.410086912199885	1.09925121090941	0.621777719288082	0.86917125238645	1.10955629773594	1.07577971057278	0.539553130561321	0.485135876341151	0.202970108763647	1.14631418274406	1.17639931829215	1.1872295369524	0.0110013075654343	-0.0470272873499393	0.262552722931576	-1.21976974163657	1.09140325676117	-0.0217925277089181	0.865358294922035	0.310627390954823	-0.0499577892804199	0.868109303009077	1.00501621829873	0.88690272802013	1.06768328351828	0.875587571509629	-1.39277995352572	0.29723058464415	0.974571345816671	1.04866617571766	0.878110784671065	1.11806019424331	0.00705785222022668	0.722329434047249	0.709434497739657	-0.299212381178501	0.0247706094221408	1.04718091801636	0.668994180044291	1.03827083450279	-1.67698377593989	0.628005634372553	-0.460300405700157	1.14187944198954	-1.56539895576291	1.17369928139874	0.865914582310973	1.14752647268625	-1.14327586375941	0.451049750818613	-1.31358459561924	-0.989333061379963
"VNN2"	0.23497615827925	0.091467948721121	1.25745583121409	1.16357673656211	-0.427608608453579	1.22447707246919	0.320820735710446	0.421435986475584	1.37546233209557	-0.291226985201433	-0.341053200180107	1.23528545768984	-0.237892518017642	-0.349033628947819	1.02457425775732	1.20218361578169	-0.101397449316252	-0.221067066284411	-0.411334645290302	0.630071880348716	-0.699856725937676	1.06322217566528	-1.462479713056	1.3811090534435	-0.144751368361047	-1.24077067775455	1.24336048695646	1.12762764821747	-0.179731199763742	1.1277504368374	-0.1700050052936	1.24761464179947	0.135574427655842	0.123773759232234	1.21119587813507	1.01891978874416	-1.37101145602741	1.33889606286257	1.10622249104706	-0.318986538941831	0.735021818080793	0.884004511042758	1.22252364782025	-1.3254788559325	1.16720010625611	-0.664030718226574	-0.812934972005194	-1.30550706693814	-0.935243500785948	-0.36901246972623	1.26959457235296	1.28279012343281	1.04295974890535	0.388414853461562	-1.0134330571486	1.18965870814233	0.41498221705424	1.18553434130392	1.2116167429894	1.27490848368198	0.64050202189022	1.07628472577304	1.06585110220545	0.226810542942963	1.32534223009128	-1.42760438142121	1.07268280277656	1.55765646236983	1.03069861531734	-1.49058082269827	1.19066620051412	-0.434414212984003	1.26022912672185	1.52085137438013	0.308262206122336	1.16761668936572	0.191196752695734	1.02008368902349	1.04817974045278	0.653479591295478	-1.36329694899425	1.26825746945255	1.00447414433641	-0.48004259759896	-1.12405463573549	0.632073746605415	-0.321722936365228	-0.329506802757997	-0.893914786675419	1.10495724908813	-1.30697138586984	1.08416310840345	0.142743548272873	-1.34785493159291	0.492299797212425	-0.517594129220575	0.270268010900444	-1.40300230916954	1.20307410877351	-0.489401909142559	1.36461284250926	-1.13773453663686	1.0560115558059	1.07876475494597	1.09514944565486	-0.0842056424188038	-0.347332216256637	-0.442145164650751	-1.29233123635222
"ATF5"	1.28037133629818	-0.326696126457289	1.25363058053776	-0.477492432367115	1.83324672421173	-0.275382938643883	-0.302717480758953	1.32214067292817	0.39609882838564	1.17096869479776	-0.858625874564242	-0.367876878153034	1.23749286081873	1.39535260600536	1.49151267924682	1.26472505338077	-0.457338303785597	-1.22714287961984	-0.320446828564284	1.33121238084747	1.19365949067134	1.2253037189375	-0.42583653630357	0.942442415094919	-0.472284508372733	1.28919128415267	1.31083850900351	-0.597124256003315	1.27588081461774	1.2884984404077	-0.797350137778919	-0.119996267648428	-0.180521743422035	-1.07567792426677	1.26314642799032	1.19965804343952	-1.23010837217839	-0.15096489890397	1.18610762626243	1.27672347093435	1.26174332498387	1.20100854040957	1.11571429637122	-0.306921807027787	1.24955439712933	1.18594854634132	-0.253910813650932	-1.06716240475816	1.232566778593	1.28732865771102	-0.352279275531316	-0.894138015190561	-1.18581561582021	-0.264290444206597	-0.324117987086529	-0.486717214945538	-0.428769764249899	1.43783436595302	1.2902918509864	1.29696975416912	-0.821611950682623	0.477409775934227	-0.514770914627117	-0.453392466469153	-0.511436841593547	-1.14106602577868	1.12624093008925	0.387159412947063	-0.533790284613614	-1.25992174998262	1.10956488414874	-1.13836924970366	-1.21575478205545	1.27656142606914	-0.249194304157782	-0.621646657229635	-0.346094970257858	-0.209947498902539	-0.184989012031252	1.73956458491816	-0.816391525287289	1.26369403977129	1.72738286133926	-1.10213756678615	0.315311243109197	-0.338512288662616	-0.81009275029625	-1.12701463367091	-0.307982700648706	1.28783797909986	-1.19891476504731	1.16630629990807	-1.23309752425821	-1.15233730976211	1.66919760756793	-0.820902247057389	-0.488996056565765	-0.748102039004175	-0.127635466634462	-1.13745420056134	1.38793147738659	1.24879590025301	1.26981891295633	-0.308125688335613	1.07750038227224	-1.11550100048413	-0.292948331453755	1.18213733948655	-0.329482249133728
"PLAU"	1.33619306088609	-0.360806277878267	1.42771619075332	1.35877544082212	-0.833467279217997	-1.05513665722019	1.4146925572641	1.46452696167476	1.36573430237903	1.36706144400966	1.37388980113867	-0.351886422487601	1.41471517917879	1.39186123419092	1.3647719606364	1.3520232764822	1.35984529857141	1.3402150497516	1.36859107743595	0.487750762086558	1.37221108823313	-0.94372158208579	-0.465562995039405	-0.165576192893957	-0.504440279595166	-0.672337498228206	1.39335213304782	1.41941501148481	-0.434995264253049	-0.342731078936436	-1.01137739054219	-0.766413022576917	-1.25941475092471	-0.720604902425362	-0.222225813677554	1.31790123180716	1.34662577556308	1.36923039048554	1.43155734041924	-0.496044061753436	1.33805695766311	-0.420373352738912	1.32650124087922	1.36110241055142	-0.464023780871728	-1.21409591868462	-0.466510262770086	0.0728503211711609	-0.617194149063791	-0.516320132373951	-0.681131626199954	-0.627377294606503	-1.00285868470043	-1.07853965321358	1.36173836753333	1.44460014724107	1.45382914975257	-1.09800451728814	-0.647498885964213	-0.216778608336529	1.39242446241575	0.000775120890296436	1.61494610090613	-1.09424629930739	-0.365932040293437	1.41075030362053	-0.543702554452484	-0.390793650036154	1.9964491747439	-0.195158198418797	-0.139982351726465	1.36916790690862	-0.625404986315763	1.51114937542534	-0.848867926520541	-0.380628456515862	-1.07155201122243	-1.09146392911674	-0.163981615864155	1.34265984210369	1.40402798603996	-0.510799743197454	1.39633845061231	-0.876666704004465	-0.314589228210848	1.40252015982355	-0.634154568768663	1.36527029203148	-1.14593636996567	1.39721607505599	-0.772880119748045	-0.545097161625251	1.32328582749426	1.46425652932722	-1.08937917910881	-0.169409139911744	1.41019530196478	-0.242603311644469	-0.279063907213912	-0.22427860732354	1.38530079389581	-1.05659725783284	-0.915560931278359	-0.276265152230626	1.32856155497615	-1.13293883147758	-0.407718200054667	-0.607832462134265	-0.327331519543655
"FPR2"	0.0835463730226284	1.4470209498729	1.18839699772162	1.44452307922137	1.11000247870638	-1.25217495297049	0.173877121794207	1.17282250979162	1.14233732197346	-0.465513726451146	1.19592661757163	1.16553428538559	-0.0833359572748217	-0.260145268978633	1.49809256217112	-1.19378828496504	1.00068545457034	1.11248122944346	0.00451484454215343	1.46430244845251	0.187736571799492	-0.563275355953265	-1.06598136787145	1.18305936219709	-1.17951132811935	1.01815926791116	1.22861846283104	1.13348911596556	-0.983032485460682	1.1107486556094	-0.0962154317723314	0.72079019648381	-1.05033479837159	-1.11667797308687	0.0765293478095565	0.576072895812605	-0.765143976925353	1.22062238261903	1.00234953457982	-0.643333266011679	-0.0564587979046178	0.754516685377359	1.11734838618463	-0.276774178234015	1.20595426471859	-1.27754908322577	-1.07828229665067	-1.12869699822545	1.30326243248494	0.732210498931272	-0.0994060057380687	-1.18207694820212	-0.57322026533467	0.758437393446038	0.649015413059074	1.17319468562733	0.775721094255082	1.00806983963817	1.17533817320405	0.171630785307007	1.12169722217674	0.30468838573834	-0.420178906012959	1.06165173095968	0.135083968822785	-0.282697574801388	0.97257837348129	1.52028751173485	1.54371719264177	-1.23314110440041	1.39846644053905	-0.0817051043253295	0.039635242436459	1.64984410941624	0.982404027741742	1.18134439461847	-0.475382826439981	1.00017663181078	0.598548293191147	1.26106525941755	1.270408827008	1.52303134246623	0.227949244150482	-0.804120862258368	-0.823378465834645	1.2779414146948	1.01043039807104	-0.412349503990076	-1.16149616229467	-0.393053982422045	-0.604706025252647	1.26067604758053	0.856530649453357	-1.02343193353083	1.60205947517993	0.830745454455166	1.43074390091903	-0.917658640181709	0.949740297133849	-1.04326987289464	1.49096547159436	1.02054087259918	1.00624437399863	-0.768126758053857	1.43990480127842	-0.78826136897214	-0.592491644920479	-0.649325223785312	-0.191657604619432
"XXbac.BPG116M5.17"	-0.642109499967209	-0.975783890296138	-0.446722334745249	0.0105919818068731	-0.515190151035801	0.418966445148706	0.465599151149138	-0.861904298084412	1.35742776757213	-0.263158167058906	-0.587960367300293	0.109585560048429	-0.944353909689814	-0.422384161031693	1.40296641037996	1.15776032922284	1.36851753789854	-0.595974363228917	1.14505286504081	1.32507641024817	1.14838058528133	-0.589211929945183	1.45757865111058	1.143862557604	-0.673726873529366	-0.683449370183973	1.17964904346437	0.0250955266758666	-0.161416960761755	1.39500086311609	-0.497448540653743	1.14840182702441	-0.804815215054186	0.877314782752998	1.11731363216877	1.1400318786786	-0.701110599563925	1.38150484221227	1.12990947800447	-0.836375061917695	0.398002102012952	0.363637128579678	1.17511035985671	1.25390600702012	1.1983026296635	0.386219756918066	-0.893210386203181	1.30926440369092	1.21571758210219	-0.858549018380019	-0.588498076357142	-0.624069901000253	-0.721869630863551	-0.938633902013486	1.50183356442182	-0.069206534179707	0.0761118158909168	1.45643181393351	1.38292182110979	1.15616437558714	-0.731903095719443	1.15603651246394	1.1258882184509	0.717288528268527	-0.453943551237043	0.329717086834681	-0.597720636610161	1.37999909489422	0.474878286648251	1.27038133729458	1.19235715274746	-0.642303461024483	-0.416729634095449	1.28281982691003	-1.13550904050322	0.434562539771573	-0.847909939329083	0.267535958075726	1.15964149013432	1.57983242533007	0.443837737480652	1.46738066108521	0.249399354068755	1.39194335339501	-0.598223922201967	1.25365202956654	1.31244421431605	-0.551399444247553	-0.958247719795857	0.6220865953939	-1.45899502967419	-0.667573883586676	1.17377440539569	1.13110918337542	0.393135566804593	1.32600743468166	-0.111234601369831	-1.07799950259413	-1.11780787033214	1.24800370932162	1.74789376138413	-1.10976278518675	-0.580792137300234	1.15978632622494	1.20053696578383	-1.3705663148819	1.36263411014066	0.618169041640886	-0.794516836964395
"SLC12A8"	-0.545029313900986	0.027993945986214	1.18378265409174	1.08797860785087	1.24087082562532	-1.46820058368801	1.21304840867057	-0.485192015232691	1.14890691161908	1.09387633984715	1.18255736661487	1.21035951807789	1.26000916568037	-0.856648649156889	1.76889416754934	1.72795111260284	-0.55532734525908	-0.980467666321569	1.09239466933897	0.270501904619075	1.12733656157364	-1.59624542264831	-0.127018079198073	-0.814183214361544	1.21754443724898	1.41063013024043	1.49427852506103	-0.782835171154024	-0.341212722176569	1.45244353063114	1.19916773066325	-1.06595503339738	0.791834398240033	-0.553480965975622	1.24975573828293	1.27322807489567	-0.881413169736188	1.59347605410701	-0.588903623174831	-0.857566367856815	1.28581419565156	-0.026577014410675	-0.144926970280664	0.0400133580905988	1.14837168263562	1.34529826357867	-0.826296133809344	1.15235900386978	-0.187872643775076	-0.825442515848259	1.14452345122713	-0.777403428348657	-1.3710052427703	-0.0477953475012243	-0.205495887199357	-0.276432740580772	0.639386358725033	-0.187179385842412	0.226193102707056	0.0584843293126834	1.16241707258245	1.10747126632999	-0.699568792954707	-0.740522623390123	-0.787774447264119	-0.771692627512299	-0.772415733769775	0.400330821687892	1.52144049914133	0.607560276866173	-0.931136287139203	-0.784705810163219	1.21315870914855	1.61133218146585	0.0230357595265899	1.44590247196541	-0.960338997489301	-1.56170846001398	1.36373208598233	1.26448534068991	1.21740375533096	0.740780430111384	-0.593822165982047	-1.25119179879058	1.00831338943505	-0.762853945447147	1.15876069687353	0.463400491946243	-0.0499833169895173	-1.17214448042175	-0.466840425843555	-1.15057523496199	1.16663256941174	1.20647102295018	-1.04304912710774	1.0782133340842	1.17908859474517	-0.857303450197811	0.133890646681178	-0.0994110325896019	1.1790771906	-0.828504081243888	-0.470031154635026	-0.271146020416983	-0.111675751375371	-0.0263996769618062	1.32736068333193	-0.396541091675897	1.1449394604499
"FCAR"	1.09070514690379	1.83815365537093	1.19183065126073	1.22575403192895	1.46628404888385	1.25234420333516	1.24161412796082	1.2324607145868	1.25761218476369	1.12548896570315	0.42674727699631	1.48532383105479	-0.334492126897747	0.37923990452018	1.23241118884661	-0.883099231410278	-1.07881213830967	-0.754861831428743	-0.808422153219056	1.31910414239875	1.18556905962678	-1.0073874343487	-0.356715855228486	0.0186453287128557	-0.82667268770219	-0.678033999909721	1.13669689158259	-0.890817228504346	-0.819320832645511	1.68067024202219	-0.299195850237086	0.976863968670973	-0.848017360643485	-0.914648429394111	1.28527003041487	1.1399721445708	-0.837170303082678	1.51025530827279	1.68763455604823	1.10952560057916	-0.860662209796152	-0.226817605351211	-0.485313073050707	-1.02580239344651	1.20605376119279	1.29681605585888	-0.947777480065416	-0.935688207178245	1.32935193131049	-0.575300944923642	-0.77582158752423	-0.729190731025941	1.11447079270372	0.467843318224263	0.580042747431235	-0.926723627511888	-1.09666809449689	1.15615360898921	0.198546933280296	-0.869148619854384	1.13975592277023	1.24189757576126	-0.847687844450713	0.836276750015675	-0.268273884784087	0.867640729047668	-0.77983318513986	1.54961149618999	1.61666111029597	-0.90528368258448	-0.327617229662986	-0.74602341113973	-0.977337988771287	0.377281378788537	-1.3109969887472	-0.105097731539398	1.27233478612288	1.09718135089437	1.13781227356706	-0.76272458794628	1.46406755087181	1.49410390857216	1.14290823488556	-0.683410514016657	-0.666362425551288	1.79390215657404	0.581513778044713	-0.831993255814499	1.23750187185276	-0.256366152017294	-0.921042309276691	-0.197446134630392	-0.864471362378079	-1.28194579085328	0.719712824059094	-0.89727420749125	1.74390180697245	-1.05887519414397	-0.828399893067629	-0.0606374263741538	1.548582235767	1.39903811038448	-0.86809187216092	-0.834550767155001	1.34551801014619	-0.4156784375334	1.13165682782138	-0.800273813202614	-0.958472757236361
