"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"A2M__pos"	1.19435057222361	9.91717320385511	6.19322626288171	12.902151982616	0.391855705915523
"ADCY3__pos"	7.78691848124156	3.50994708822231	5.72579671628557	6.31991625662607	3.71941213556626
"ADGRE2__pos"	15.509112799511	2.22044604925031e-16	10.1725359899998	1.97275440535479	1.88401335472061e-14
"ADORA3__pos"	0.121226543861061	8.16228724069188	13.402570654182	6.36838151276224	2.22044604925031e-16
"ADPRH__pos"	5.27971625343001	2.22044604925031e-16	11.7065494179777	11.1836052229179	2.22044604925031e-16
"AIF1__pos"	2.22044604925031e-16	8.76706825563633	17.2996330023683	2.22044604925031e-16	2.22044604925031e-16
"ALOX5__pos"	3.39535480851454	0.832355457878313	20.4132824103505	2.22044604925031e-16	2.22044604925031e-16
"AMDHD2__pos"	0.717201207260812	15.098748506993	6.40531665572141	4.67492370565961	1.97294914023297
"AMPD3__pos"	13.3011503673606	2.22044604925031e-16	12.1409986323726	6.0098375772084e-09	1.10742204861472
"ANXA11__pos"	2.95949617424082	16.3498408323524	4.37846862043697	7.45076624380225	2.22044604925031e-16
"AOAH__pos"	2.22044604925031e-16	7.48433032100633	17.8916811773356	2.22044604925031e-16	2.22044604925031e-16
"AP003419.11__pos"	2.22044604925031e-16	20.5167572862793	2.35032720387152	5.8410910601026	1.98140474811853
"AP1B1__pos"	4.25540988204432	2.22044604925031e-16	17.9202157805512	2.99178540639589	2.22044604925031e-16
"AP1S2__pos"	15.0139597082552	2.22044604925031e-16	7.48311573627156	3.68332991702197	1.3742509958877
"APOC1__pos"	5.29597503861115	7.80641556559877	13.6474989956602	2.22044604925031e-16	0.393571970362713
"APOC4.APOC2__pos"	13.8666801189959	6.15149614125249	8.12718317710064	2.22044604925031e-16	2.22044604925031e-16
"APRT__pos"	2.23107417744721	19.006739064363	2.28138400986981	2.22044604925031e-16	5.28929236944647
"ARHGAP4__pos"	0.597771006352105	10.9301887058319	15.554394860075	2.22044604925031e-16	2.22044604925031e-16
"ARL11__pos"	2.22044604925031e-16	2.21103811280188	20.8719098820887	1.5901385009208	2.22044604925031e-16
"ARPC1B__pos"	6.77778750543888	10.3305627267062	10.5758302067196	2.22044604925031e-16	2.22044604925031e-16
"ARPC3__pos"	1.79144070908108	0.940914096437654	1.2432146549477	15.6324758936366	7.02298400002782
