"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"CLEC5A"	"CLEC5A"	1.34499914255144	0.314550621526592	0.0324786475801	-0.769973180663709	-0.502725449757831	"IS01"	1.34499914255144
"RPF1"	"RPF1"	1.10016298134292	0.0123776174104942	-0.198873862127082	-0.4230867740152	-0.221223707029594	"IS01"	1.10016298134292
"PLAUR"	"PLAUR"	1.08823021755428	0.438253199606805	0.116871021839283	-0.462288863418368	-0.682906334173976	"IS01"	1.08823021755428
"SLC11A1"	"SLC11A1"	1.07431441412774	0.666383703639307	0.263159269447691	-0.52287526953019	-0.881162593630034	"IS01"	1.07431441412774
"CACNA2D4"	"CACNA2D4"	1.04663615147783	0.735033949941688	0.602180238138906	-0.382417283272655	-1.27886005463954	"IS01"	1.04663615147783
"SRSF9"	"SRSF9"	1.03558494242568	-0.890681409762824	-0.13364626152014	-0.110905565695152	0.0399446699970741	"IS01"	1.03558494242568
"ATP1A1"	"ATP1A1"	0.970632552131173	-0.352058496006343	0.224129711314316	-0.357496803213492	-0.353906881383572	"IS01"	0.970632552131173
"LSM8"	"LSM8"	0.943180574342578	-0.0896862864066607	0.141452024158066	-0.202986811333986	-0.503789421996083	"IS01"	0.943180574342578
"IRAK2"	"IRAK2"	0.934082488461331	-0.462060116346987	0.435959557538824	-0.24644241814551	-0.525069328156229	"IS01"	0.934082488461331
"PDLIM4"	"PDLIM4"	0.933469151252812	-0.184035584929472	-0.113464837386544	-0.47431228588431	-0.0588785137779107	"IS01"	0.933469151252812
"PFDN2"	"PFDN2"	0.929181255207305	0.345192032087305	-0.280976654316189	-0.572923351855663	-0.130388141301363	"IS01"	0.929181255207305
"IER3"	"IER3"	0.928469997195988	0.0560965369939718	0.0760516475793999	-0.629156262268166	-0.24572533971679	"IS01"	0.928469997195988
"MEIKIN"	"MEIKIN"	0.927546628961795	0.540282979872761	0.214448063542111	-0.776233646970165	-0.525194556641969	"IS01"	0.927546628961795
"RAN"	"RAN"	0.925167470311569	-0.397945380740351	0.189823287368559	-0.704279794764037	-0.0533218709530146	"IS01"	0.925167470311569
"SLC20A1"	"SLC20A1"	0.919154159739894	-0.407814916630411	0.141053988442923	-0.435521099029134	-0.17365465493833	"IS01"	0.919154159739894
"TMEM206"	"TMEM206"	0.906567403300261	-0.478441350428035	0.529383031974256	-0.820355328989815	-0.21526933813399	"IS01"	0.906567403300261
"NDUFA12"	"NDUFA12"	0.904529526631231	0.00612224124142876	0.300894371642112	-0.328662827945391	-0.587409928569896	"IS01"	0.904529526631231
"NMB"	"NMB"	0.901791233400772	0.472500687991647	-0.155799609270129	-0.458642491088676	-0.360488040368042	"IS01"	0.901791233400772
"TREM2"	"TREM2"	0.875705479669011	0.824168974462604	0.462624251593016	-0.727711957298795	-0.886419420786101	"IS01"	0.875705479669011
"PFKFB4"	"PFKFB4"	0.875233395983777	-0.466632603532597	0.107013077753743	-0.834125552869631	0.16551518072797	"IS01"	0.875233395983777
"CCDC71L"	"CCDC71L"	0.846232656026917	0.254614627031994	0.415214963193181	-0.575256565950276	-0.624760349287665	"IS01"	0.846232656026917
"ADM"	"ADM"	0.819644724606296	-0.0749188510595363	-0.250758952631832	0.342502333328851	-0.450635639823603	"IS01"	0.819644724606296
"SEC14L2"	"SEC14L2"	0.809868013938092	-0.275247423194435	0.0534626613520478	-0.402112691383678	-0.12540641787161	"IS01"	0.809868013938092
"GPR137B"	"GPR137B"	0.795995819771104	-0.336210627418531	0.719032683787034	-0.361766385017675	-0.677409341059463	"IS01"	0.795995819771104
"NIM1K"	"NIM1K"	0.788404506897634	-0.607280396380638	-0.202287093994028	0.0050999271077892	0.0218120673464318	"IS01"	0.788404506897634
"RAB7A"	"RAB7A"	0.781349817196519	-0.928868666006373	0.710984566845703	0.112833584837712	-0.650408439329976	"IS01"	0.781349817196519
"PIGF"	"PIGF"	0.780495874868814	-0.827350590001844	-0.0607833252981792	-0.359158711513917	0.253424565986403	"IS01"	0.780495874868814
"SLC25A5"	"SLC25A5"	0.763135955350345	-0.145034986200907	0.574803008501531	-0.611295181047043	-0.477558209591499	"IS01"	0.763135955350345
"COMT"	"COMT"	0.761977046467853	-0.150540810110784	0.655912546607805	-0.078321941025806	-0.881432391429031	"IS01"	0.761977046467853
"SPP1"	"SPP1"	0.753062249591804	0.198045318399442	0.0125590548079804	0.0507769635894696	-0.594215559512731	"IS01"	0.753062249591804
"SEP15"	"SEP15"	0.748344589629062	-0.895989957846858	0.179927274833849	0.217439884601807	-0.262355660601372	"IS01"	0.748344589629062
"PHC2"	"PHC2"	0.743481284747388	-0.316324906349902	0.0624723254957179	-0.291024819861957	-0.142546942058196	"IS01"	0.743481284747388
"C1orf43"	"C1orf43"	0.736121485913212	-0.975550530318003	0.239960314047338	-0.288348707859433	0.0568982867111888	"IS01"	0.736121485913212
"SDC4"	"SDC4"	0.71198983150159	0.0131558837847578	0.0825290185387605	-0.420326401458332	-0.232740934515657	"IS01"	0.71198983150159
"ST3GAL6"	"ST3GAL6"	0.695155338876451	-0.606643205366225	0.183996748197213	0.0859413163049074	-0.303486069921542	"IS01"	0.695155338876451
"PFKFB3"	"PFKFB3"	0.675294853802418	-0.891746105266959	0.54466841566269	-0.130746479146984	-0.310796642780364	"IS01"	0.675294853802418
"CNIH3"	"CNIH3"	0.673241068099999	-0.478185589777984	-0.460527446883332	-0.504548722759059	0.565500513897359	"IS01"	0.673241068099999
"RUVBL1"	"RUVBL1"	0.665755105365766	0.242623570878931	-0.0735620853878532	-0.663307867457946	-0.0392207970697429	"IS01"	0.665755105365766
"HK2"	"HK2"	0.645303299435691	-0.529343807374998	0.2798771068061	-0.725269975096539	0.118696238135302	"IS01"	0.645303299435691
"IFITM10"	"IFITM10"	0.624589353675324	0.264922609515463	-0.0753303754569249	-0.195653739552467	-0.321985391026059	"IS01"	0.624589353675324
"TRNAU1AP"	"TRNAU1AP"	0.609818214187825	0.312349243783056	0.393266372130733	-0.768858118862482	-0.373364828910653	"IS01"	0.609818214187825
"PPT1"	"PPT1"	0.608013285606256	-0.616255851734958	0.574532802495287	-0.333679815383849	-0.312864789172455	"IS01"	0.608013285606256
"HGF"	"HGF"	0.607225019085296	-0.0304423313252853	0.248930357404635	-0.136466811105916	-0.469512203210623	"IS01"	0.607225019085296
"SNRNP40"	"SNRNP40"	0.573232277333878	0.335565615111868	0.134117322464284	-0.516949654294252	-0.303167003908922	"IS01"	0.573232277333878
"ALDOC"	"ALDOC"	0.565437653887024	-0.21280274566106	0.272761875567839	-0.197724812935438	-0.329876557580863	"IS01"	0.565437653887024
"PET117"	"PET117"	0.562342583061816	-0.480097823465546	-0.172772711358632	-0.5231323039377	0.399051535082424	"IS01"	0.562342583061816
"COPS6"	"COPS6"	0.555255183504453	0.464397895332476	-0.296575330293465	-0.234217617545303	-0.173236846527417	"IS01"	0.555255183504453
"IQSEC2"	"IQSEC2"	0.551691302730295	0.397431183364717	-0.0332129014754629	-0.224224639000715	-0.366399866067213	"IS01"	0.551691302730295
"COPRS"	"COPRS"	0.539248654688298	0.32331789924922	-0.0185593559879266	-0.176761458287661	-0.362516997440524	"IS01"	0.539248654688298
"CTNNAL1"	"CTNNAL1"	0.493718749178779	0.322141440287925	-0.0279419735161839	-0.0675934364703378	-0.396208203209104	"IS01"	0.493718749178779
"SKP1"	"SKP1"	0.488728039337964	-1.004547876565	0.202013099874561	0.0184327099214295	0.0565030987365465	"IS01"	0.488728039337964
"TFPI2"	"TFPI2"	0.485734409428008	0.0911826615306581	0.00885284290322437	0.0516530454573619	-0.376622601401883	"IS01"	0.485734409428008
"FAM187A"	"FAM187A"	0.483313934420605	0.445455771434838	0.13666085541066	-0.35236128095283	-0.414486767521384	"IS01"	0.483313934420605
"S100A16"	"S100A16"	0.469777424600652	0.433845483994739	0.393195615091855	-0.233908396863985	-0.693998451784017	"IS01"	0.469777424600652
"SEMA4B"	"SEMA4B"	0.449421166040992	-0.402562628708888	0.138821989995722	-0.520042618761757	0.157809465253782	"IS01"	0.449421166040992
"TMC7"	"TMC7"	0.430353361090288	-0.638221683601856	-0.14271052996408	0.398604896683109	-0.0500216162815753	"IS01"	0.430353361090288
"ARSI"	"ARSI"	0.420632382467628	-0.219117602389649	0.105890779501306	-0.00903434434932116	-0.218335580341968	"IS01"	0.420632382467628
"TMX2"	"TMX2"	0.416636287900617	0.0566323773061918	-0.0846545481682753	-0.478394609537903	0.0987729061115504	"IS01"	0.416636287900617
"AKAP6"	"AKAP6"	0.412412551284269	-0.391010374559092	-0.416379371984461	-0.110069081866475	0.386169721134374	"IS01"	0.412412551284269
"ITGA3"	"ITGA3"	0.364166154287474	-0.673757204468559	0.248547065876503	-0.304882983219762	0.12146803613653	"IS01"	0.364166154287474
"DESI1"	"DESI1"	0.353186532901765	-0.0888358285498182	0.307139757187775	-0.135101026813623	-0.338421623309544	"IS01"	0.353186532901765
"RELA"	"RELA"	0.272781589435621	-0.16405362889571	-0.0719443013643941	-0.107093694708581	0.0540179493995083	"IS01"	0.272781589435621
"LAMTOR2"	"LAMTOR2"	0.0497161410859104	1.39120893465111	0.389035611977293	-0.225510268298703	-0.951860122236016	"IS02"	1.39120893465111
"PNPLA6"	"PNPLA6"	0.0478833272038999	1.37922282429803	0.343045593853822	-0.34801776731617	-0.827499740948668	"IS02"	1.37922282429803
"UQCRQ"	"UQCRQ"	0.0691888111193246	1.33192109303634	-0.00850869196242569	-0.17907845860166	-0.623058388749087	"IS02"	1.33192109303634
"ROMO1"	"ROMO1"	0.5035620382563	1.32869004413254	-0.405831742781068	-0.240355128369307	-0.501785666861263	"IS02"	1.32869004413254
"CISD3"	"CISD3"	0.03110970100144	1.32609489494346	0.483924485343341	-0.362311906065997	-0.900404011552844	"IS02"	1.32609489494346
"STAB1"	"STAB1"	-0.446250878790233	1.31422802409545	0.748259569586722	0.488478478743991	-1.37623365499168	"IS02"	1.31422802409545
"HK3"	"HK3"	0.132717105627657	1.31012630659946	1.19225455291738	-0.455267012508686	-1.49644091715771	"IS02"	1.31012630659946
"SIPA1"	"SIPA1"	-0.421914983489059	1.29422416238637	0.881121158161567	0.13771254680337	-1.27054814125311	"IS02"	1.29422416238637
"C16orf13"	"C16orf13"	0.231955206324193	1.294183383541	-0.498800495671292	-0.129850451901734	-0.313432677305885	"IS02"	1.294183383541
"MRPL24"	"MRPL24"	0.331784870588797	1.28439361027264	-0.249556620702634	-0.627348986940958	-0.263871030182331	"IS02"	1.28439361027264
"SLX1A"	"SLX1A"	0.596675565007267	1.27990262573638	0.570843360635753	-0.731145742468646	-1.05138774836895	"IS02"	1.27990262573638
"GPX1"	"GPX1"	-0.0802412398270016	1.27978646677069	1.13338094517092	-0.60607189463346	-1.20820469213767	"IS02"	1.27978646677069
"TRPV2"	"TRPV2"	0.172872339512691	1.26832033608711	0.558931500806934	-0.344071010337273	-1.02946967411086	"IS02"	1.26832033608711
"TMSB10"	"TMSB10"	0.222507688521191	1.26656553497439	0.190994580877789	-0.342502623748462	-0.745655289056077	"IS02"	1.26656553497439
