"IS01"	"IS02"	"IS03"
"AC009950.1__pos"	6.78478314114543	5.17938045596778	2.69354060104719
"AD000671.6__pos"	10.3531870310582	3.79094731591221	2.22044604925031e-16
"ADAP1__pos"	11.5780419568929	1.26404333741011	0.510554506896109
"ADGRG5__pos"	11.4800874072053	2.00977819593229	2.22044604925031e-16
"AOAH__pos"	11.5561747532404	5.03364904514366e-10	1.84683077272353
"APOBEC3D__pos"	9.46477750301496	2.78910322155392	1.26854522487503
"APOBEC3G__pos"	11.6064527404167	1.39074044902685	1.02727123214595
"APOL6__pos"	9.51805822733009	5.17665940237457	2.22044604925031e-16
"ARHGAP25__pos"	9.93383300022926	0.925467841476376	2.02815198315965
"BATF__pos"	10.1250704273145	3.76546460605583	2.22044604925031e-16
"BATF3__pos"	8.2386545398748	2.68158271138285	2.29116901994954
"C11orf21__pos"	11.8659580253438	2.22044604925031e-16	1.82235280416373
"C1QB__pos"	6.80043219282875	2.52003230029024	3.84093916909407
"C1QC__pos"	8.29565909802209	5.50463322017294	2.22044604925031e-16
"C2__pos"	0.542404642438425	3.51981688917141e-15	13.0175755116133
"C5orf56__pos"	8.40994761196931	4.05054731304933	0.428753941998509
"CARD17__pos"	9.77549235918173	3.08340144812635	0.939725366745804
"CCL4__pos"	11.1154298826468	2.36558989857372	0.0507566213585515
"CCL5__pos"	13.4003695533821	0.100539840549189	2.22044604925031e-16
"CCL8__pos"	9.16874126961207	5.68532714122029	2.22044604925031e-16
"CCR1__pos"	4.2975389903678	9.96808089064784	0.127986765183835
"CCR2__pos"	11.1927975421248	2.22044604925031e-16	1.01479045234371
"CD160__pos"	8.62684938537038	3.0886294849083	2.35506402028977
"CD226__pos"	10.488208233269	2.76809157117053	1.01213961340631
"CD244__pos"	10.7803906050493	2.55503916680973	2.22044604925031e-16
"CD274__pos"	9.29749655825056	5.304948048082	2.41697593944382e-06
"CD300LF__pos"	8.24059121378916	5.82945790809338	2.22044604925031e-16
"CD38__pos"	12.9197942734314	0.808279645871144	2.22044604925031e-16
"CD3E__pos"	13.5559203575068	2.22044604925031e-16	2.22044604925031e-16
"CD3G__pos"	13.0129984928594	2.22044604925031e-16	0.318493448896926
"CD40__pos"	2.22044604925031e-16	2.2622169801844	11.0545664945428
"CD5__pos"	13.2128576526656	2.22044604925031e-16	2.22044604925031e-16
"CD53__pos"	12.2304282264689	1.55944918080977	2.22044604925031e-16
"CD69__pos"	12.1815382142884	1.82312593721192	0.0159393324023963
"CD74__pos"	2.22044604925031e-16	5.19251345097306	8.99936614789865
"CD8B__pos"	12.5503355561811	0.971167041174092	0.0967452408743887
"CECR1__pos"	10.3541393807812	1.57946020788038	1.02084814154312
"CELSR3__pos"	5.91875196465898	5.62446853272648	3.41388805141862
"CHURC1.FNTB__pos"	5.89560368357472	3.73858867525349	5.04712233274812
"CIITA__pos"	6.80240663938046	6.59446900420422	0.448332442460334
"CLEC10A__pos"	10.6715717874767	3.57134351338969	2.22044604925031e-16
"CLEC12A__pos"	10.5956363717782	3.77043173246809	2.22044604925031e-16
"CLEC1B__pos"	9.84243998876467	3.88053889238732	0.953723917300868
"CLEC7A__pos"	7.25163296001906	2.22044604925031e-16	5.14690126114038
"CLECL1__pos"	11.8678011301019	2.23525002413405	2.22044604925031e-16
"CORO1A__pos"	9.69109290607116	3.7625853296252	0.283525571715262
"CRTAM__pos"	10.2603420088262	4.15206064566775	4.24484290529028e-07
"CST7__pos"	11.8291835567253	2.01459959318364	2.22044604925031e-16
"CTSS__pos"	11.5295251997383	2.50130708049069	2.22044604925031e-16
"CTSW__pos"	13.0871031072428	0.528177834491361	2.22044604925031e-16
"CXCL10__pos"	11.1344449400404	2.70946161709527	2.22044604925031e-16
"CXCL9__pos"	11.0395539272807	3.19797876881165	2.22044604925031e-16
"CXCR6__pos"	12.5091592286636	0.273354385985852	2.22044604925031e-16
"DENND2D__pos"	6.2198654544402	1.03447869429661	5.09334758452355
"DNAJC5B__pos"	9.41906814148849	5.11938476917553	0.142660152411144
"DOCK2__pos"	12.1573126357457	1.12856322488825	0.0179869004206379
"DOCK8__pos"	9.33014170748062	4.53154721732123	0.547163353824336
"DOK2__pos"	0.0838846666112838	1.16572941522775e-09	14.0028117330699
"EOMES__pos"	12.1567601713937	0.788764073087318	0.425140345042358
"EPSTI1__pos"	10.2856258955128	3.92323545915839	0.383555873676888
"ETV7__pos"	9.82934943556452	3.56052206765334	0.0681726993170545
"FAM26F__pos"	9.73266907409118	2.99283163479499	0.325294811677231
"FASLG__pos"	12.5786883785918	1.24602391790888	2.22044604925031e-16
"FBXO6__pos"	7.59060965730869	2.94226559110369	3.20286630614038
"FCGR3A__pos"	9.17552281314663	5.53503849603271	2.22044604925031e-16
"FCN1__pos"	10.0893546886328	4.23786372707089	2.22044604925031e-16
"FCRL6__pos"	11.4306672205621	0.221052443491074	1.8540798344599
"FGD2__pos"	11.9854459519633	2.09883496169321	2.22044604925031e-16
"FGL2__pos"	9.29875092903335	2.22044604925031e-16	3.2221286979288
"FOXD4L3__pos"	5.29670467895396	2.22044604925031e-16	1.85308065731764
"FXYD2__pos"	8.0951357052774	6.90511409123497	2.22044604925031e-16
"GBP2__pos"	8.91033907127035	3.49745382643557	1.20630276724243
"GBP4__pos"	10.4559149839309	3.25142834183722	2.22044604925031e-16
"GBP6__pos"	6.67963514717365	2.75696711152295	4.87353216834139
"GIMAP1.GIMAP5__pos"	8.16934408672215	6.09346918958968	0.0590657813535068
"GIMAP4__pos"	11.5791878017842	2.28662570019745	2.22044604925031e-16
