"TCGA.3B.A9HL"	"TCGA.DX.A1KW"	"TCGA.DX.A1KX"	"TCGA.DX.A1L0"	"TCGA.DX.A1L1"	"TCGA.DX.A1L2"	"TCGA.DX.A1L3"	"TCGA.DX.A23V"	"TCGA.DX.A23Y"	"TCGA.DX.A3LY"	"TCGA.DX.A3U5"	"TCGA.DX.A48N"	"TCGA.DX.A6YR"	"TCGA.DX.A6YS"	"TCGA.DX.A6YT"	"TCGA.DX.A6YU"	"TCGA.DX.A6YV"	"TCGA.DX.A6YZ"	"TCGA.DX.A6Z0"	"TCGA.DX.A7EU"	"TCGA.DX.A8BG"	"TCGA.DX.A8BM"	"TCGA.DX.A8BN"	"TCGA.DX.A8BR"	"TCGA.DX.A8BT"	"TCGA.DX.A8BV"	"TCGA.DX.A8BX"	"TCGA.DX.AB2F"	"TCGA.DX.AB2G"	"TCGA.DX.AB2O"	"TCGA.DX.AB2T"	"TCGA.DX.AB2V"	"TCGA.DX.AB35"	"TCGA.FX.A3TO"	"TCGA.IE.A4EJ"	"TCGA.IE.A6BZ"	"TCGA.IF.A3RQ"	"TCGA.K1.A6RU"	"TCGA.LI.A9QH"	"TCGA.UE.A6QU"	"TCGA.X6.A8C6"	"TCGA.3B.A9HI"	"TCGA.DX.A1KU"	"TCGA.DX.A1KZ"	"TCGA.DX.A1L4"	"TCGA.DX.A23R"	"TCGA.DX.A23Z"	"TCGA.DX.A2J0"	"TCGA.DX.A3LS"	"TCGA.DX.A3LW"	"TCGA.DX.A3M1"	"TCGA.DX.A6BE"	"TCGA.DX.A6BG"	"TCGA.DX.A6BH"	"TCGA.DX.A7ES"	"TCGA.DX.A8BU"	"TCGA.DX.AATS"	"TCGA.DX.AB2L"	"TCGA.DX.AB30"	"TCGA.FX.A2QS"	"TCGA.FX.A3NK"	"TCGA.HB.A3YV"	"TCGA.LI.A67I"	"TCGA.MB.A8JK"	"TCGA.QC.AA9N"	"TCGA.QQ.A5VA"	"TCGA.QQ.A8VB"	"TCGA.SG.A6Z4"	"TCGA.SG.A6Z7"	"TCGA.SI.A71Q"	"TCGA.SI.AA8C"	"TCGA.VT.A80G"	"TCGA.X9.A973"
"ABCA9"	1.10804597818908	1.35655440440317	1.02384391465507	1.31439325551225	1.4951614586315	1.56769981406506	1.22388047352191	1.03408589740585	1.0630453153442	1.41875164270038	1.29588643680298	1.42090204495013	1.14279733489545	1.56208601814623	1.2622531042881	1.13990727038561	1.11563097969551	1.35215241046845	1.02893817718925	1.08215253184373	0.532326409317321	1.09994642966506	0.883761732712129	0.563229961381849	1.35061811720422	1.0139155179738	1.14478810258346	1.56061608385445	1.06081488346019	0.889385735851068	0.724447067566699	1.49574880858478	1.08521170895199	1.03001648664394	1.38597046241503	1.3374309748219	0.144843227861325	1.06737499274397	0.33587159238908	1.02885023499448	1.29204959312178	1.01292220343944	-0.73625037620239	-0.356100198517634	-0.758903415935287	0.443677958512524	0.215324903408953	1.47458629283586	-0.172581619452905	1.07490072949548	0.836077594308481	-0.312580019041112	-1.06647027543977	-0.171666131113407	-0.27042177322858	-0.920258777238229	-1.25271160107114	-1.12948910678936	-0.905007663412346	1.19566931004513	-1.0062445371108	0.586338106901876	-1.08959743549011	-0.189769213980227	0.721141724593357	1.35821837322423	-0.266987980581321	-0.551732075252798	-0.0315586935878072	-0.869546142558975	-0.58512224327665	-1.29686270193928	1.11261989071938
"ADGRG2"	1.35345850210275	0.257520014515395	1.03581580753897	1.14540738942671	0.919799890248647	1.38574524009081	1.01836990824765	1.31170567249029	0.829455425669325	0.857044727680502	0.988451963752751	0.62928602572914	1.05182484687221	1.38222764119717	1.36016521628511	1.25206628303443	1.20392486862371	1.13998114551824	1.04280865904015	0.98513306411616	1.19287215244065	0.98197833226972	1.27599126066311	1.40353184484764	0.99082185506855	1.03446244773872	1.0979734388386	1.37116030293544	1.14508474086698	1.33165265184858	1.01730992667385	0.940758765861387	1.25637210969474	1.3351938084734	1.26007912424771	1.19640452412043	0.890288226502165	1.30514244074887	1.27429810874344	1.09937147322048	1.35012294637723	0.0630556062868877	0.365908155243307	-1.07811364174295	-0.115455896309488	-1.07811364174295	0.874290111894201	0.638118112717342	-0.839900905846066	-1.07811364174295	-0.194702772386419	-1.05115816546249	-0.278025203994331	-1.07811364174295	-1.01091905571808	0.0541655387583372	0.878125508098573	0.454437558237868	1.17353504299397	-1.07811364174295	-1.02785927213813	-0.27242684520565	-1.07811364174295	0.677722446317096	-0.590020347427769	0.140062115977025	1.01310667265266	-1.07811364174295	1.13070711696222	1.35165332491352	1.09426548679415	-0.512799224912963	-0.255527861089071
"FBN1"	1.06882156390112	0.292666485529601	1.42863081488447	1.07660452421342	1.37736424614647	1.00514835288981	1.3020073761817	1.29093451880503	1.34816572342271	1.06679950826409	1.38520167618988	0.990804028851086	1.44640242513183	1.46437997008905	1.52522565722497	1.01891917274863	1.00040390570438	0.311548996193658	1.32372395668867	1.07451368506031	1.19587683536651	0.38630739358225	1.27180892330086	0.969786799836737	1.15997819351368	1.17483514505631	1.05331417137599	1.17556830364368	0.736750398973004	1.18510137558247	1.20917729300311	1.23902334087513	1.40641217156957	-0.0856028133204391	1.28779748065447	1.37676155942685	0.972009574154828	1.20081142500137	0.573871083584661	1.13117980654937	1.50152890670522	-0.30534448792209	-0.024390338937465	1.00390685178095	1.12188566677498	0.207492972416899	1.18865354880064	1.09261139771555	-0.767298910769075	-0.403951827403257	-0.166902348597043	0.69340527864956	0.256783260497064	0.987267942680205	-0.486278146345741	0.501377653811509	-1.03054216599182	0.410662319166658	-0.23702586417328	0.963730136261251	-0.0998899673576085	0.0796848495344247	-0.0561089008078597	0.925058971176381	-1.11769411937523	0.672494578865465	0.48578433733103	0.0796002161096969	-0.657292057070813	-0.256183604200274	-0.861408575874544	0.258538024918589	-0.351796732828766
"C17orf58"	1.36851316506795	1.05334958235791	0.963574502126682	1.21291868626494	1.09515980538919	1.49539217284693	1.15389560724449	1.47013825714795	1.0584346290088	0.987852427896119	1.14674568346178	0.659411126330433	0.374539594926702	1.12937400923789	-0.465073480879698	1.24518774400905	1.06029626832504	0.0883274758467972	1.03566268555982	1.11204626709588	1.35190188265286	1.028253630833	1.52021759007975	1.14433504657676	1.12253972471356	1.02734292371875	1.09115526326014	1.43923854957562	1.33942506203321	1.3005855029579	0.811295356365997	1.04119708655832	1.44238913030117	1.10285189429371	1.01756030555309	1.40180672618252	1.26814077447363	1.52001262217077	1.05203133670377	0.74910905851171	1.11230869162755	-0.849314824226633	-0.323491256773089	1.10664418145621	-1.19486002848113	0.0693773471131306	1.15308409852239	1.51006071633902	-1.18769802268218	0.854570226026801	1.00320678976474	-0.899003219019001	-1.15391988073225	-0.0475146523689784	-1.19633455817471	-0.0308036233955661	-1.09947728385453	-1.20794937273037	-0.756639565833885	0.309531737078916	-0.86476675507394	-0.310026253747179	-0.517340163714718	-1.1034643468595	0.304333350503844	-1.05734018981572	-0.661626879954773	-0.941108799089496	0.931674807760383	0.994426119340036	0.0362198588588792	-1.30788615037416	-1.02298505882367
"PXN"	1.09907084294783	0.275583294265676	0.731110216638877	1.10920370292418	1.03138412908226	1.17869487272693	0.535558254580522	1.18474986295013	0.602202693838282	1.06848454044127	1.27956065008008	1.2128491219984	1.14915485826255	1.20487824095741	1.21961455744692	1.01070099394467	0.527222953702928	0.980670083534034	0.720177265569497	1.35536791714275	0.386242225722884	0.0813632976167711	1.42027228933801	1.02811374238967	1.0917077449415	0.998849364464044	1.49091736106288	1.08154280312438	0.821803439843951	1.40663148420616	1.01496029358714	1.23688333021434	0.958978714763034	1.4008330162039	1.46386894140635	1.06973228154035	1.26707207203607	1.32439147950186	0.963865832125748	1.15822193305859	1.34882518885609	0.258399488070255	-1.54753795924316	0.0617296421474778	-0.338560166462523	-1.03671561550194	-0.339042477219807	0.821603750127056	-0.394535427935926	0.103065961581425	-0.223105522608323	0.808880894427892	-0.468166853554755	-0.9055369198927	-0.529125133712133	0.910401955185512	-0.120147037125829	-0.359369011204098	-0.98797023068696	-1.10304080980171	0.0272739754233467	0.962952044843284	-1.31990072069754	-1.07679375115197	-0.0419592090669146	-1.09454968457172	-0.739696278021462	0.0138691728953711	-1.41345248481291	-1.39770326906769	-1.15608677137719	-0.672547901598089	0.362000570209512
"GAS7"	1.03576406299876	1.07187740251378	0.991386148723239	1.19658919243769	1.07086550003984	1.17438062175398	0.508056314793574	1.21625305829037	1.00039040763681	1.0747794591156	1.10112157627476	0.0808746549656334	1.01893370621134	0.964232914271212	1.32899349751963	0.973533192646225	1.09980039922851	0.764828494645131	1.19030767959348	1.03133383948514	1.06217676296231	1.27119112668468	1.2238037011572	0.200667777572828	0.995219380400241	0.987391876420926	0.827939191109635	1.28997708448217	0.954106430329234	1.03630447659017	1.05182075215416	0.96767666322448	1.29900954187613	1.02643014514269	1.11848883419331	1.35622029696388	1.2002969764836	1.16781493881685	1.16230769137463	1.0347081555553	1.30168738105529	-0.52041976264707	0.320111221455927	0.973950569758849	0.88793564074674	0.977520448405949	0.402715086567964	0.964024186667571	-0.525507869195007	0.666326304896819	-0.597390979988793	0.841690443748813	-0.667757507141983	-1.4528767803529	-0.55114102111417	-1.51202020323946	-1.04560686704564	-0.421310726931015	-0.684154688364284	1.10183899192104	0.316894400725796	1.12784314933731	0.216440450560858	0.651884228751764	0.609417589482896	0.59694810763419	0.378938383860856	0.137119170337195	-0.851642436229479	0.00724435740419089	-0.841664816231518	0.0119830463515734	-0.478177398352902
"ADGRD1"	1.09643858064596	0.92498918184049	1.11995667753007	1.12044253049651	1.16483706990927	1.20146731884712	1.0490335263328	1.05792453546329	0.97654799728577	1.00754674378052	1.22826702391126	0.78959734665239	1.02805760547416	0.822700780069077	1.07928023786683	0.970206185127297	0.713500605793646	1.01184492622389	0.985897708646426	1.15410607350323	1.0099619251005	0.304310545733662	1.06414046325488	1.13758930252611	1.10266975290024	0.974754990044546	1.24616308558129	0.97584721242497	1.03655750647752	1.09871579137684	0.967672082548903	1.15868270169923	1.00226046719364	0.992097388909048	1.18192466594851	1.03975758937443	1.05573473625281	1.07723656308415	0.73968486019942	1.14717055438731	1.10311543159894	0.158941695271958	0.0170099137850723	1.01972214310878	0.083834103879015	0.0414894272048055	1.00065245293095	0.971335450788572	-1.40581358885211	0.10277668432062	-0.103100365657279	0.865665490710707	-1.40581358885211	0.313080623866317	0.763656191695095	-1.40581358885211	0.26056553874806	-0.252906429366844	-1.15704831584335	0.525839170906173	0.53204297210937	-0.925797410716635	0.454534192418371	0.771342464293838	0.247580369446475	0.609109615754937	0.520557236053465	-1.40581358885211	-0.831091133797024	-0.567789179912387	-0.0515372594312774	-1.40581358885211	0.963416513795839
"KLF4"	1.15797217609107	1.12293856152329	0.999186767325194	0.653021912117201	1.24023055035131	1.28290194302559	1.184773270815	1.07561894194631	1.11553660234243	0.466815558793929	1.06218937820041	0.472860557681489	1.17579120180533	0.920918815303505	1.19485890002044	1.25396995337768	1.22758307129871	1.18177365114689	1.04142103608871	0.303310548629443	1.11655036349176	0.756413613025338	1.10958818790582	0.955200778533984	0.748927579675658	0.725116924495591	1.06273502655967	1.22058341490428	1.14554862947444	1.16577661006618	0.858939858286955	1.08583572971584	0.940203507704103	0.990378121719202	1.03692594996122	1.27366607090801	1.02976667345035	1.24768370176183	1.08335967814395	0.96880790799345	1.12355163239139	0.427421795461199	-1.09412892336333	1.17372169123911	-0.432907344075831	0.103163035085275	-0.146109656079625	-0.65443507473446	-0.955316091041431	0.926344857829286	0.53479692337305	-0.0749760162438986	-1.30049775078056	-0.90714231411724	-1.34978822382183	-0.550582577962028	-0.539391186762713	-1.10287749517089	-1.26918345679768	0.987836748517601	0.962056167381729	1.067424826621	0.191168295401213	-0.786693102339175	1.07962003295405	0.289387839424587	-0.530556811956505	-1.00008684327933	-1.1862662516532	-1.61657594395714	-1.04822462333042	-0.184551681383433	-1.45352013189732
"ADAMTS5"	1.01661938820211	1.131662626173	1.33397477795743	0.686135822205211	1.22923360332789	1.08142434624925	1.07043812514834	1.03253286707341	1.02431862697442	-0.202290070256526	0.2915026595518	1.05677974062101	1.15947261863693	1.08270528999962	1.00311511396536	1.07556880804067	1.23128913194025	1.00406268983965	1.03943129729126	1.01954583653837	1.01579352932303	0.99662465133464	1.12554940298219	1.19076506506649	1.09827478640084	1.0047110380826	1.07681942805058	1.26368471906811	1.14640410848674	1.0072782429667	1.00515075494514	1.16933403666522	1.07815376853108	1.11934590753695	1.30630341763418	1.28101069831828	-0.0567541967989439	1.06317283757012	1.09217522535869	1.17146425601311	1.07283490316038	1.00975818321955	0.198428766759811	0.943090119847728	1.00055125354304	-0.413277652961088	0.248591984503376	0.586014312238175	0.515474629130158	0.893489153533968	-0.133000993972776	-0.91202960094738	0.55698532538673	0.105616601416962	-1.16426388624825	0.0879243431905782	-0.462694313235124	-0.18843439477819	-0.836683851865998	-0.701510321244174	-0.360120705974804	0.316246363433029	0.637293288633531	0.271784265313869	0.193011588180583	-0.0653418546345217	-0.268722332183243	0.0101850970940198	-1.59581941044025	-1.36618064821129	-1.31252234030496	-0.326975870595538	-1.59581941044025
"EMILIN2"	1.09578338432618	0.965537952735718	0.979522425948158	-0.422596940383637	1.05803609528059	1.28952036182817	1.11450266419924	1.17081350129513	1.05794725047681	1.04540573201132	1.16242585943721	0.688283019012666	1.26984883717391	1.12918323720474	1.12307259334401	0.370482135378282	0.422057839786759	0.968903585228976	1.13434096777999	1.030693068363	0.333412831732624	1.24463035838327	1.37242878645871	1.21550589610501	1.10289218324346	0.526073934187535	1.32132826213317	0.982857447724425	0.733957335458361	1.2779190499776	0.929213500653213	1.06085786614625	1.20830512595496	1.01158926569188	1.24955074322895	1.30611062276567	1.28613172663299	1.16395621534002	1.07401963574605	0.997081238611254	1.17941196318337	-0.470849851041246	-0.63861997866549	1.00325863200119	-0.125824305706456	0.200239120021814	1.06352228142713	0.471886172931493	-1.08375984246904	0.517538843864877	0.286868815069283	-0.328112036361894	-0.627708991274229	0.281161442455939	0.689137925132167	-1.02734771754416	-0.95868138444544	-1.05765455390883	-1.30686369110085	-0.0411673313216742	-0.0416757249063958	0.00636323067165158	-0.506695454591895	-1.35641951056411	0.471281648559093	-0.752351227465304	0.150299671996159	-0.153012863267276	-1.42707679477629	-0.736859621626402	-1.19831324243065	-0.271661784493496	-1.40927069204092
