"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"CECR2"	"CECR2"	0.807813153578647	0.329625433971378	-0.971853597967632	"S01"	0.807813153578647	"IS01"
"CIART"	"CIART"	0.806111679468234	-0.196546574740088	-0.391500961290271	"S01"	0.806111679468234	"IS01"
"PTGES3L"	"PTGES3L"	0.804956314610236	0.156358136269323	-0.779013144229478	"S01"	0.804956314610236	"IS01"
"CRHR1"	"CRHR1"	0.803033967487564	-0.077956888853012	-0.519692249367925	"S01"	0.803033967487564	"IS01"
"ABCG4"	"ABCG4"	0.800958507432182	-0.181170816185621	-0.404537009116251	"S01"	0.800958507432182	"IS01"
"PKIA"	"PKIA"	0.796051629453323	-0.294873278681442	-0.275703903628414	"S01"	0.796051629453323	"IS01"
"CCDC144A"	"CCDC144A"	0.795005077712915	0.251168682049131	-0.875852073493358	"S01"	0.795005077712915	"IS01"
"SLC2A11"	"SLC2A11"	0.7878445048992	-0.354954792335393	-0.203394047925031	"S01"	0.7878445048992	"IS01"
"OPLAH"	"OPLAH"	0.781689876515984	-0.0733213134892793	-0.508700441552792	"S01"	0.781689876515984	"IS01"
"VN1R1"	"VN1R1"	0.774701658059354	0.277738197296528	-0.88978395778541	"S01"	0.774701658059354	"IS01"
"SIM1"	"SIM1"	0.774028738265199	-0.451089251992841	-0.0871778231172069	"S01"	0.774028738265199	"IS01"
"CCND2"	"CCND2"	0.772682263975177	0.082624286033452	-0.673532014206979	"S01"	0.772682263975177	"IS01"
"CDNF"	"CDNF"	0.770872086013488	0.0833639196380205	-0.672981134067245	"S01"	0.770872086013488	"IS01"
"ATF7IP2"	"ATF7IP2"	0.769558025120292	0.0691631457174266	-0.656361911980785	"S01"	0.769558025120292	"IS01"
"EPPIN"	"EPPIN"	0.766647082063792	0.156925322786208	-0.750752248796058	"S01"	0.766647082063792	"IS01"
"BLMH"	"BLMH"	0.766278469102655	0.0518429470293419	-0.634827679260493	"S01"	0.766278469102655	"IS01"
"SNTG2"	"SNTG2"	0.763760797674497	-0.421309979326463	-0.112208887715927	"S01"	0.763760797674497	"IS01"
"PRKAR2B"	"PRKAR2B"	0.763520104489821	0.237642077609005	-0.837225975316021	"S01"	0.763520104489821	"IS01"
"MCCC2"	"MCCC2"	0.763314891857114	0.5705056510334	-1.20339863570587	"S01"	0.763314891857114	"IS01"
"DCTN4"	"DCTN4"	0.762683194416346	0.347764312973392	-0.957788114789592	"S01"	0.762683194416346	"IS01"
"MYLK4"	"MYLK4"	0.756004183899407	0.445364897467609	-1.06016482779978	"S01"	0.756004183899407	"IS01"
"OLFM1"	"OLFM1"	0.752933535265428	0.229533155091104	-0.820319580365133	"S01"	0.752933535265428	"IS01"
"OTUD6B"	"OTUD6B"	0.751005840090994	0.149633427985334	-0.730933804363207	"S01"	0.751005840090994	"IS01"
"ZNF587"	"ZNF587"	0.748176390494673	0.173289869591178	-0.75483510140821	"S01"	0.748176390494673	"IS01"
"GRM8"	"GRM8"	0.741386301044244	-0.172581583424627	-0.369072391458657	"S01"	0.741386301044244	"IS01"
"SGK2"	"SGK2"	0.740253415671928	0.103886699184202	-0.672480702084067	"S01"	0.740253415671928	"IS01"
"NRG2"	"NRG2"	0.739527589661231	0.128785664347842	-0.699335566448781	"S01"	0.739527589661231	"IS01"
"B3GAT1"	"B3GAT1"	0.736965255123981	0.0770806945626236	-0.640500537864229	"S01"	0.736965255123981	"IS01"
"ECHDC3"	"ECHDC3"	0.733468872801311	-0.351266000463864	-0.166454541814939	"S01"	0.733468872801311	"IS01"
"IGSF1"	"IGSF1"	0.733351474617658	0.0103598455914337	-0.564347248096804	"S01"	0.733351474617658	"IS01"
"BOK"	"BOK"	0.732219805315342	-0.052549770786214	-0.494259854132604	"S01"	0.732219805315342	"IS01"
"ZNF154"	"ZNF154"	0.731942848993325	0.118937629738235	-0.682778595182896	"S01"	0.731942848993325	"IS01"
"PECR"	"PECR"	0.72896062485502	-0.31238967756933	-0.205840011057721	"S01"	0.72896062485502	"IS01"
"NPIPB4"	"NPIPB4"	0.727509349359213	0.424293467425597	-1.01548995909795	"S01"	0.727509349359213	"IS01"
"NR2F2"	"NR2F2"	0.719907738148224	0.347632961855334	-0.925390929663137	"S01"	0.719907738148224	"IS01"
"MAPK8IP2"	"MAPK8IP2"	0.719329380535306	-0.0949377825866508	-0.437891082172309	"S01"	0.719329380535306	"IS01"
"C1orf35"	"C1orf35"	0.718055243242266	-0.500365204014504	0.00925592459338529	"S01"	0.718055243242266	"IS01"
"PCNT"	"PCNT"	0.715695166137466	-0.0116683110833047	-0.526791702178763	"S01"	0.715695166137466	"IS01"
"LDHB"	"LDHB"	0.713604258186921	-0.751263398323887	0.288733735699135	"S01"	0.713604258186921	"IS01"
"COQ10A"	"COQ10A"	0.708857257564137	0.233999652544217	-0.7920016625399	"S01"	0.708857257564137	"IS01"
"TAC1"	"TAC1"	0.707320704871947	-0.202189839953013	-0.310802116596439	"S01"	0.707320704871947	"IS01"
"TBX18"	"TBX18"	0.706581912634954	0.288886614546195	-0.850690976030354	"S01"	0.706581912634954	"IS01"
"TARBP1"	"TARBP1"	0.705535435196999	-0.00212287429108483	-0.529636349957663	"S01"	0.705535435196999	"IS01"
"OSBPL7"	"OSBPL7"	0.704491747255536	0.178265317376169	-0.727372592072767	"S01"	0.704491747255536	"IS01"
"GFRA1"	"GFRA1"	0.702848045208472	0.390247010745849	-0.9594261197899	"S01"	0.702848045208472	"IS01"
"C10orf71"	"C10orf71"	0.682733330178442	0.0573082651162957	-0.577849535392007	"S01"	0.682733330178442	"IS01"
"SUSD4"	"SUSD4"	0.67754695667965	0.119131635532311	-0.641977685039637	"S01"	0.67754695667965	"IS01"
"MRPS31"	"MRPS31"	0.673930969163151	0.0208671499422332	-0.531107914042686	"S01"	0.673930969163151	"IS01"
