"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"PDCD6IP"	"PDCD6IP"	1.11198561143316	0.0777791378608925	-0.962563282316601	"S01"	1.11198561143316	"IS01"
"STRIP2"	"STRIP2"	1.08960838271545	-0.100015378334081	-0.780707176848624	"S01"	1.08960838271545	"IS01"
"DPP9"	"DPP9"	1.04832229343672	-0.0497346815376307	-0.793990952317479	"S01"	1.04832229343672	"IS01"
"KLHL21"	"KLHL21"	0.942816671112617	0.0935540460794177	-0.84158091122548	"S01"	0.942816671112617	"IS01"
"RAD18"	"RAD18"	0.896705123811566	0.085163918509784	-0.796903556135444	"S01"	0.896705123811566	"IS01"
"CTD.2370N5.3"	"CTD.2370N5.3"	0.853230492374668	-0.304621436776243	-0.402687187419972	"S01"	0.853230492374668	"IS01"
"MME"	"MME"	0.851705157537719	-0.413940869278115	-0.300671199944299	"S01"	0.851705157537719	"IS01"
"SPANXC"	"SPANXC"	0.832747304705791	-0.477634939412356	-0.22675662219906	"S01"	0.832747304705791	"IS01"
"RP11.73M18.2"	"RP11.73M18.2"	0.809967955204095	0.283841795003861	-0.910599109381885	"S01"	0.809967955204095	"IS01"
"TBC1D2"	"TBC1D2"	0.807486498123127	-0.584750175057396	-0.107757632199213	"S01"	0.807486498123127	"IS01"
"LACTB2"	"LACTB2"	0.797788043305669	0.232686040543343	-0.853675068884809	"S01"	0.797788043305669	"IS01"
"BTG4"	"BTG4"	0.788939208083101	0.000103856998489073	-0.632142056831222	"S01"	0.788939208083101	"IS01"
"TRPA1"	"TRPA1"	0.78672530057766	0.229145262537393	-0.841547680668299	"S01"	0.78672530057766	"IS01"
"NLRP10"	"NLRP10"	0.785620647122832	-0.432865966452089	-0.230279434156582	"S01"	0.785620647122832	"IS01"
"ACVR1C"	"ACVR1C"	0.782533676957531	0.327696269615649	-0.929054983053642	"S01"	0.782533676957531	"IS01"
"BCL2L13"	"BCL2L13"	0.759633249484683	0.435342200877323	-1.0099596626435	"S01"	0.759633249484683	"IS01"
"LMO7"	"LMO7"	0.744197533817452	-0.0423639160299274	-0.557142105931798	"S01"	0.744197533817452	"IS01"
"PNLIPRP3"	"PNLIPRP3"	0.740770132707939	-0.154398419184995	-0.451098976114771	"S01"	0.740770132707939	"IS01"
"GS1.114I9.3"	"GS1.114I9.3"	0.719533317338658	0.499472118963501	-1.03696287791898	"S01"	0.719533317338658	"IS01"
"STX3"	"STX3"	0.715388548142193	-0.172282576197301	-0.414275483201764	"S01"	0.715388548142193	"IS01"
"ZNF655"	"ZNF655"	0.711988318103475	0.69224466000944	-1.20865719943226	"S01"	0.711988318103475	"IS01"
"KRT33B"	"KRT33B"	0.654560785542346	-0.303172499262109	-0.244862000973043	"S01"	0.654560785542346	"IS01"
"MET"	"MET"	0.652898533736568	0.151269806158792	-0.662532241071841	"S01"	0.652898533736568	"IS01"
"KRTAP1.5"	"KRTAP1.5"	0.632019055549245	-0.575534804800719	0.0243186677580211	"S01"	0.632019055549245	"IS01"
"ATPAF1"	"ATPAF1"	0.629222837610633	0.313358928611774	-0.793013181963578	"S01"	0.629222837610633	"IS01"
"ADAMTS6"	"ADAMTS6"	0.627533186321354	0.176259298044288	-0.66525183810686	"S01"	0.627533186321354	"IS01"
"ABI3BP"	"ABI3BP"	0.626454559284324	-0.142710045484758	-0.370293681558567	"S01"	0.626454559284324	"IS01"
"ITPKA"	"ITPKA"	0.615151543293338	-0.0959167810870263	-0.404382467293721	"S01"	0.615151543293338	"IS01"
"AXL"	"AXL"	0.612426036616445	-0.442303784660829	-0.0828254870082763	"S01"	0.612426036616445	"IS01"
"IL1RL1"	"IL1RL1"	0.608899215871842	-0.24276069239002	-0.26398144876424	"S01"	0.608899215871842	"IS01"
"EMC3"	"EMC3"	0.605163274062082	0.158835266524917	-0.631265341230633	"S01"	0.605163274062082	"IS01"
"XXbac.BPG181M17.5"	"XXbac.BPG181M17.5"	0.597868089349349	-0.194595539299511	-0.299552954346509	"S01"	0.597868089349349	"IS01"
"FBXL13"	"FBXL13"	0.59770666535007	0.130203728327607	-0.59889293196429	"S01"	0.59770666535007	"IS01"
"TXNRD1"	"TXNRD1"	0.595782258512415	0.372099472110513	-0.820382357744595	"S01"	0.595782258512415	"IS01"
"S100A3"	"S100A3"	0.590705255854231	-0.491759200627863	-0.0198256637353739	"S01"	0.590705255854231	"IS01"
"TANGO2"	"TANGO2"	0.585038469606623	0.160946878447448	-0.617089603740794	"S01"	0.585038469606623	"IS01"
"TJP2"	"TJP2"	0.584384604430987	0.204812577460383	-0.657010535267099	"S01"	0.584384604430987	"IS01"
"SPIRE1"	"SPIRE1"	0.566721048701323	0.165140352252534	-0.606281327994978	"S01"	0.566721048701323	"IS01"
"GPRC5A"	"GPRC5A"	0.56567787314051	-0.221193530266997	-0.249240560465471	"S01"	0.56567787314051	"IS01"
"SAMD9L"	"SAMD9L"	0.556194946174424	0.517862167796216	-0.923062770929513	"S01"	0.556194946174424	"IS01"
"SETSIP"	"SETSIP"	0.544872016623675	-0.164518621174579	-0.284827303755557	"S01"	0.544872016623675	"IS01"
"CAV1"	"CAV1"	0.544384653755124	0.03561083609183	-0.468958916044463	"S01"	0.544384653755124	"IS01"
"GABRP"	"GABRP"	0.543624689320445	0.415164168870544	-0.81830336798883	"S01"	0.543624689320445	"IS01"
"CAPSL"	"CAPSL"	0.532697680760843	-0.039443250854849	-0.390395201363362	"S01"	0.532697680760843	"IS01"
