"IS01"	"IS02"	"IS03"
"ABCB5__pos"	5.6752753228893	2.66003702734844	5.29012358639599
"ABI3BP__pos"	7.88705568380011	5.22044532800577	0.622954158127416
"AC002985.3__pos"	7.07142116935255	5.81589006063262	0.857146360054318
"AC011530.4__pos"	1.35668566989217	10.0530359245193	2.38250140029844
"ACSM5__pos"	4.87012210690768	6.47591784116476	2.68857297969176
"ACVR1C__pos"	9.33900109998805	4.95593141235227	2.22044604925031e-16
"ADCY5__pos"	0.0013910934750074	13.9356511959568	2.22044604925031e-16
"ADRA1A__pos"	2.73810828921058	9.21110056899135	1.33929078477972
"ALDH1L1__pos"	1.04535466337495	10.7838175485934	1.35341791088111
"ALDH2__pos"	2.30111111707865	7.85993291426658	1.67823971870861
"ALOXE3__pos"	9.269693577534	1.38657627038704	3.32355786807083
"ALPP__pos"	4.13951553028068	6.02764970346204	3.29656113964704
"ANO3__pos"	6.44734056889269	7.34054069566621	0.480194300485102
"AP000295.9__pos"	5.4724975581406	8.30815704825818	2.22044604925031e-16
"AP5B1__pos"	7.38401551462103	3.44614240824174	0.742699924842749
"ARHGEF10__pos"	4.83229225931163	8.665910252036	2.22044604925031e-16
"ARNT2__pos"	3.44861397449167	10.3312367226014	5.4386750762433e-09
"ASCL3__pos"	7.96896365025287	5.6314638283536	0.658631111220311
"AVPI1__pos"	7.49102950534498	0.982713041639038	3.77957276598744
"BCL2L13__pos"	7.51820620339548	3.80955616877984	0.193805460511223
"BDH1__pos"	5.98973813142483	4.52436852498668	2.51771008405148
"C14orf180__pos"	2.22044604925031e-16	10.1669687545361	3.30416649260972
"C15orf40__pos"	4.42528304418948	4.19694153682375	0.697226124782896
"C1RL__pos"	2.02074474386487	7.12275017293214	4.11607644296471
"C7orf77__pos"	9.82368079292046	4.82508817736313	2.22044604925031e-16
"CAST__pos"	5.49637247429878	5.02958751738606	1.94395082300412
"CCDC33__pos"	3.23628552035238	8.91574273126859	1.64272763833842
"CD1A__pos"	7.01449653640498	2.93920899374525	3.1732224659188
"CD1C__pos"	4.09632728517274	5.39287068039387	3.61607526530762
"CD1E__pos"	3.88285612634417	6.58241284477173	2.33247621424583
"CDRT4__pos"	0.362930303949528	7.31879185373354	4.42778186145549
"CDS2__pos"	6.80047003164839	6.2686546299156	0.107463395692837
"CELA3A__pos"	5.47237197005295	4.53531761537493	3.70050596472943
"CEP63__pos"	6.82993684087675	5.40925351405371	0.478135262679164
"CFAP57__pos"	3.70115088278475	6.37319027109238	3.43326047776166
"CFAP70__pos"	2.22044604925031e-16	11.71141328415	1.29692585999869
"CHN2__pos"	2.65084349432801	9.40205344586843	1.39929541217825
"CHRDL1__pos"	3.42095932999213	7.84807772139699	3.18776068912483
"CHRNA9__pos"	10.033878055328	3.929032360979	0.396888350953026
"CPA6__pos"	3.21059842385685	6.31824738012095	4.10137887496569
"CTB.96E2.2__pos"	14.6785000167137	2.22044604925031e-16	0.0079159307237203
"CTD.2207O23.10__pos"	13.0550007675369	2.22044604925031e-16	1.41795649056367
"CTD.2370N5.3__pos"	9.9251437261806	3.5412675448121	2.22044604925031e-16
"CTD.3222D19.2__pos"	13.1633287756461	1.36482266837814	2.22044604925031e-16
"DAOA__pos"	4.32141130431953	8.91194922114214	0.968024675340083
"DAPL1__pos"	2.22044604925031e-16	12.0113087823939	1.71878654400456
"DGAT2L6__pos"	4.74025623419792	6.817076281433	2.36186636219306
"DGKG__pos"	8.50733608346991	4.47707610007045	2.22044604925031e-16
"DHRS7__pos"	4.85720040000042	5.95041916806996	2.47394344933537
"DMGDH__pos"	3.8868761395412	9.84356991387186	0.00610352157777194
"DMTN__pos"	2.22044604925031e-16	13.5812784862525	0.102795014517069
"DPP9__pos"	11.2646459155699	2.44088938534488	5.41143349882615e-10
"EDDM3A__pos"	14.7215041456339	2.22044604925031e-16	2.22044604925031e-16
"ENKUR__pos"	3.11577201826963	8.60820506227336	2.01562838387526
"ENTHD1__pos"	5.08674708917488	2.06232585237675	6.4543367854893
"EPDR1__pos"	4.84135958959196	2.45984987866956	2.54736293453472
"ETFDH__pos"	4.45302032961309	6.87249896954508	1.9005416095976
"ETNPPL__pos"	0.241781817508059	10.5668532402291	2.40781724994294
"FAM135B__pos"	4.95984496180513	7.77000650105403	0.188612068425281
"FBXO27__pos"	2.45743498144921	8.32639103513928	2.3282478556526
"FBXO39__pos"	3.4154694846908	7.8162753957653	1.36706554855417
"FBXO40__pos"	2.41509966569366e-13	12.3745659663901	1.42366733437871
"FREM3__pos"	4.87618905599643	7.63039335281918	1.66602717779132
"FRMD1__pos"	0.263259105985637	9.09038603622674	4.41892955573432
"GABRR2__pos"	2.55525801452155	11.1049830812278	2.22044604925031e-16
"GCNT3__pos"	8.5092135736999	5.13949215573906	0.348946318906179
"GMPR2__pos"	5.92513741127852	4.61637548180192	2.43389411464991
"GPR150__pos"	7.55013583108917	3.03617671855385	2.89030146280485
"GPR22__pos"	6.47072261741582	5.7048761706974	0.925081294968835
"GPR37__pos"	0.798362904416582	13.1828475751274	2.22044604925031e-16
"GPRC5A__pos"	8.08248106467364	2.76183721722198	2.95763363278527
"GS1.114I9.3__pos"	8.69705983102853	5.10347532666354	2.22044604925031e-16
"GYG1__pos"	5.98071409257602	2.20419448409175	3.43250503654927
"GYPE__pos"	3.74467678982208	8.71273202606102	0.781434619904908
"GYS2__pos"	1.43210400761259	12.7889187335996	1.46525019584605e-09
"HACD1__pos"	4.57154690526169	5.34505439587499	3.68478379341153
"HADHB__pos"	2.77236843473238	9.25426349629608	1.58909408074092
