"IS01"	"IS02"	"IS03"
"AC018755.18__pos"	5.49105162631727	0.317325715262221	3.88616444736589
"ADAM29__pos"	4.19474920245736	4.44355202937824	0.8979103815606
"ADGRG5__pos"	8.02589948337449	2.22044604925031e-16	1.12566128842771
"AMPD3__pos"	5.98713959429329	0.604405835499105	2.03689721961831
"ANO9__pos"	7.62697468113306	1.8115076282288	2.22044604925031e-16
"APOBEC3G__pos"	7.30129101382976	1.09149007238473	1.21727940869483
"ARHGAP15__pos"	6.04217898993362	2.22044604925031e-16	3.71184558300522
"ARHGAP25__pos"	7.37663204773242	0.17047687893212	1.83677158860508
"ARL11__pos"	6.73161924324006	2.22044604925031e-16	2.88332319487618
"ATP2A3__pos"	6.82237783898285	2.54246322322386	2.22044604925031e-16
"BFSP2__pos"	6.26838883270134	0.50418047709304	3.34963552397394
"BLK__pos"	7.2368213094698	1.71071723668973	0.778804784522507
"C11orf21__pos"	8.29035175728313	0.853024545657424	2.22044604925031e-16
"C1orf228__pos"	6.77245459134573	2.25364680484779	0.5952001923847
"CCR4__pos"	7.13677727686956	0.818025625937217	0.704247063193151
"CCR6__pos"	7.57601237724651	0.797321043395207	0.211640903798343
"CD180__pos"	3.4400960195824	2.22044604925031e-16	6.14314996639663
"CD1C__pos"	7.5105963571101	0.0468430740497616	1.6828030959076
"CD226__pos"	8.43772331056957	0.53038512532994	2.22044604925031e-16
"CD38__pos"	8.88387966115327	2.22044604925031e-16	0.258709320045513
"CD3E__pos"	9.1257996962136	2.22044604925031e-16	2.22044604925031e-16
"CD3G__pos"	8.70614449787396	2.22044604925031e-16	2.22044604925031e-16
"CD5__pos"	8.24089031164557	2.22044604925031e-16	0.432650817131497
"CD53__pos"	8.01089201993982	2.22044604925031e-16	1.21091220931967
"CD69__pos"	7.91158120044297	2.22044604925031e-16	1.11403875271209
"CD79B__pos"	6.14372572782684	2.24646911735636	0.88250367826019
"CD83__pos"	5.42725992751915	4.27386479617868	2.22044604925031e-16
"CLEC17A__pos"	7.64477892292639	1.52744887398614	0.000953821262310764
"CLECL1__pos"	7.49695897213763	2.22044604925031e-16	1.84970695060303
"CLLU1__pos"	3.39124389689192	6.22117756617404	2.22044604925031e-16
"CNR2__pos"	7.53753803943353	1.71777600637453	2.22044604925031e-16
"CORO1A__pos"	6.56988137299797	2.22044604925031e-16	2.98026321441738
"CPNE5__pos"	5.89794233501909	3.31731040616308	5.05374600056352e-14
"CR2__pos"	5.4242600026852	3.68304056927655	0.477939423115846
"CRIP3__pos"	3.43224262297995	6.3082871492113	2.22044604925031e-16
"CRLF3__pos"	4.14394121080075	4.17064504509849	0.768721160798529
"CSTA__pos"	5.62559253398756	0.377720397745887	3.88649343011777
"CTD.2545M3.6__pos"	5.09845477986727	4.40418503106112	0.656199691724008
"CXCL14__pos"	4.80863697865177	4.7161985138184	2.22044604925031e-16
"DENND2D__pos"	8.3862035209283	0.302733391032994	0.949001171865882
"DOCK10__pos"	5.63049209357642	3.00131592091713	0.515372820763877
"DOCK8__pos"	0.00942802599125422	7.47109304160146	2.54138829205325
"DPEP2__pos"	5.56699844934701	2.13192767520856	0.876663462162824
"ENPP7__pos"	4.30874009309865	2.41815960197426	3.11460406862034
"EPHA10__pos"	4.72329330900773	4.81726010093443	2.22044604925031e-16
"EXOC3L4__pos"	5.25432339173166	3.13953413685556	1.1645673082869
"FAM129C__pos"	6.81422259051279	2.63635864382627	2.22044604925031e-16
"FAM159A__pos"	6.64499083540201	2.55196609848925	2.22044604925031e-16
"FAM46C__pos"	5.43899059818099	3.9291815955853	2.22044604925031e-16
"FAM65B__pos"	4.88649702070879	2.95822159210834	1.71161055721918
"FCRL2__pos"	7.38926724600784	1.74770906215462	2.22044604925031e-16
"FCRL4__pos"	6.8928204171817	1.67138302566329	1.29210365942991
"FGD2__pos"	0.225755597548631	9.04957007619605	2.22044604925031e-16
"FLT3__pos"	9.14814550439357	2.22044604925031e-16	2.22044604925031e-16
"FUT7__pos"	6.31157165792881	0.437928670442727	2.36545998072485
"GCSAM__pos"	7.50519917224765	1.89536542699107	2.22044604925031e-16
"GIMAP6__pos"	1.18899812107676	6.96007437220138	0.956758157408828
"GPR55__pos"	7.34798533945334	0.706360926333062	1.36495622103807
"HCLS1__pos"	6.95251616554597	2.22044604925031e-16	2.56260166653986
"HEMGN__pos"	6.68821026602063	1.8599460466464	0.671977917824694
"ICAM3__pos"	0.818715061960438	8.13645769263997	0.414710509402797
"IFNAR2__pos"	5.08763762224566	1.19718966244354	2.89297184986217
"IFNLR1__pos"	5.73855224885763	3.69159055512984	2.22044604925031e-16
"IL16__pos"	7.31630856205002	2.22044604925031e-16	2.01877352718131
"IL21__pos"	6.85584081332685	1.50068491541177	1.24626442469847
"IL2RG__pos"	9.04601587684154	2.22044604925031e-16	0.0983771255366018
"IL7R__pos"	7.45435776703627	2.22044604925031e-16	2.05998983768323
"IL9R__pos"	6.64268265559259	2.32431865352418	0.725809596749829
"IPCEF1__pos"	7.86894409952354	1.39980075644671	3.54962617153417e-07
"IRF4__pos"	6.63150228242237	2.26846058371673	0.965551749448476
"ITGAL__pos"	8.65945873678801	0.363740582045636	0.0391141994547234
"ITK__pos"	8.91276612418416	0.277730531227185	2.22044604925031e-16
"ITSN2__pos"	0.072287492758374	2.59385647614118	7.18436043904019
"KBTBD8__pos"	4.04772081353971	3.01984916209294	2.67291991167238
"KIAA0226L__pos"	5.15320473910892	0.121410997633673	4.59166880292468
"LCK__pos"	8.71715589067877	2.22044604925031e-16	0.405323328879557
"LCN8__pos"	3.76268248859623	2.35901303124657	4.28032666758107
"LGALS9B__pos"	5.86133593132882	2.09150248295965	1.77299337823703
"LILRB1__pos"	2.00959713593363	0.136168343663006	6.88247243990937
"LRMP__pos"	6.81583477980999	2.22044604925031e-16	2.55322216582854
"LTF__pos"	6.59800665552561	0.441389386612795	2.31401172061512
"LY75__pos"	7.88760707779339	1.2469420749997	2.22044604925031e-16
"MDS2__pos"	6.4534468050477	3.14055994626993	0.26440211429443
"NCF1__pos"	7.77251542619073	2.22044604925031e-16	1.4877063015037
"NCKAP1L__pos"	5.8150792432386	2.22044604925031e-16	3.24004468589224
"NCR3__pos"	7.54958966807037	2.22044604925031e-16	1.85295159789561
"NPHS1__pos"	2.72604942532032	6.51739467272373	0.224384364053337
"NUAK2__pos"	5.58448780825873	2.52635673735577	1.57614618471129
"NUP210__pos"	7.16551175355763	2.25893616850717	2.22044604925031e-16
"P2RY10__pos"	6.94159975317736	3.75985293416301e-06	1.9538735477558
"P2RY8__pos"	6.30553503437131	2.22044604925031e-16	3.4243274231036
"PACSIN1__pos"	6.43726361136991	2.89107222288112	2.22044604925031e-16
"PAX5__pos"	7.03836110767555	2.58070523879846	2.22044604925031e-16
"PKHD1L1__pos"	7.29189138113317	1.94391738858732	0.234288063301583
"PLCG2__pos"	7.81139086725125	0.431456562619145	1.03593308375833
"PLD4__pos"	6.88900672763865	2.20104196638993	2.22044604925031e-16
"PRKCB__pos"	8.45258502474668	0.167970059228936	0.438517477731006
"PTK2B__pos"	8.00917540732823	0.449141586759913	0.551416064937526
"PTPRCAP__pos"	9.13910234885116	0.0329409380711309	2.22044604925031e-16
"PVRIG__pos"	8.4783023375186	0.491625225777833	2.22044604925031e-16
"RASAL1__pos"	5.28390061005274	3.37455855752398	0.926500260582071
"RASAL3__pos"	7.25702601125676	3.48031386039281e-08	2.23136846962872
"RASGRP2__pos"	5.89226394535025	3.30163697672492	0.055230287087767
"RBM38__pos"	5.70267405312525	3.88030643731801	2.22044604925031e-16
"RBP5__pos"	6.5653808141319	1.28639444920153	2.08590548031428
"RDX__pos"	3.4547975800789	5.99593632003632	0.130522387175184
"RHOF__pos"	6.69230530709492	2.8385890958392	0.000138214775272173
"RHOH__pos"	7.45591959059248	2.22044604925031e-16	1.64684551615971
"RP11.330H6.5__pos"	5.17782893120234	1.45163301349593	2.8373982131177
"RPS6KA1__pos"	3.6549098581876	1.08930431611408	4.24202096561505
"S1PR4__pos"	7.83547657714418	2.22044604925031e-16	1.31666274693229
"SASH3__pos"	5.95031239317032	2.22044604925031e-16	3.75864751789359
"SCML4__pos"	9.22977433830147	2.22044604925031e-16	2.22044604925031e-16
"SELP__pos"	6.19984685965285	1.19220983037804	2.67802161305594
"SEMA4D__pos"	7.12834913686086	2.24025720600862	2.22044604925031e-16
"SEPT1__pos"	7.98731264780917	0.675259765457437	0.575655794920274
"SERPINB9__pos"	7.62427049488487	0.745889467250387	0.643180001533263
"SHISA8__pos"	4.35989050265824	5.54504505660412	3.17170388673644e-13
"SIGLEC5__pos"	4.04151737136326	2.22044604925031e-16	5.36157437008196
"SLAMF6__pos"	8.11348638859265	2.22044604925031e-16	1.18260828053994
"SLC12A3__pos"	7.76607866111656	1.3107522400045	2.22044604925031e-16
"SLC5A10__pos"	5.86694050116316	2.1321767038726	1.15819222893181
"SNX20__pos"	6.69607001610918	2.22044604925031e-16	3.11292399517424
"SNX22__pos"	5.57058662487381	3.80645595955967	2.22044604925031e-16
"SPATA19__pos"	2.02919617522617	2.22044604925031e-16	2.44145933103412
"SPIB__pos"	6.82601523673109	2.01059717587489	2.22044604925031e-16
"SPNS3__pos"	7.72615366179501	0.666342230436005	1.04195188099697
"ST6GAL1__pos"	5.29277872289365	2.0776776679214	1.87650826603321
"STAP1__pos"	8.18235166207774	2.22044604925031e-16	0.968542876039441
"STAT4__pos"	7.84994320612615	2.22044604925031e-16	1.29389884411337
"SUSD3__pos"	6.96697219527743	0.111837229034784	2.56342553879005
"SYK__pos"	4.97855930448277	0.0187695549647076	2.9549396579345
"SYTL1__pos"	6.8261274331401	2.65069040618242	2.22044604925031e-16
"TBC1D10C__pos"	8.8120385930535	0.148696082408124	2.22044604925031e-16
"TCF7__pos"	4.22756112444756	4.39537737885702	1.15875299503384
"TCL1A__pos"	8.22068205521116	0.561453778626198	0.344788145748092
"TIGIT__pos"	8.84360591398597	2.22044604925031e-16	0.0958135714142803
"TLR10__pos"	8.1562692925229	0.114220523181602	1.10163562852995
"TLR9__pos"	5.21583416179987	3.26641936631286	0.817468813960386
