"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"FBXL13"	"FBXL13"	0.59770666535007	0.130203728327607	-0.59889293196429	"IS01"	0.59770666535007
"TXNRD1"	"TXNRD1"	0.595782258512415	0.372099472110513	-0.820382357744595	"IS01"	0.595782258512415
"S100A3"	"S100A3"	0.590705255854231	-0.491759200627863	-0.0198256637353739	"IS01"	0.590705255854231
"TANGO2"	"TANGO2"	0.585038469606623	0.160946878447448	-0.617089603740794	"IS01"	0.585038469606623
"TJP2"	"TJP2"	0.584384604430987	0.204812577460383	-0.657010535267099	"IS01"	0.584384604430987
"OR4N2"	"OR4N2"	0.581168340202818	-0.0966955112338588	-0.376439356305956	"IS01"	0.581168340202818
"SPIRE1"	"SPIRE1"	0.566721048701323	0.165140352252534	-0.606281327994978	"IS01"	0.566721048701323
"GPRC5A"	"GPRC5A"	0.56567787314051	-0.221193530266997	-0.249240560465471	"IS01"	0.56567787314051
"SAMD9L"	"SAMD9L"	0.556194946174424	0.517862167796216	-0.923062770929513	"IS01"	0.556194946174424
"TFDP3"	"TFDP3"	0.545826453821403	-0.158577395943798	-0.291069825872582	"IS01"	0.545826453821403
"SETSIP"	"SETSIP"	0.544872016623675	-0.164518621174579	-0.284827303755557	"IS01"	0.544872016623675
"CAV1"	"CAV1"	0.544384653755124	0.03561083609183	-0.468958916044463	"IS01"	0.544384653755124
"GABRP"	"GABRP"	0.543624689320445	0.415164168870544	-0.81830336798883	"IS01"	0.543624689320445
"CTD.3148I10.9"	"CTD.3148I10.9"	0.538790259966153	-0.0415945071867248	-0.393292688525641	"IS01"	0.538790259966153
"CAPSL"	"CAPSL"	0.532697680760843	-0.039443250854849	-0.390395201363362	"IS01"	0.532697680760843
"PSMA4"	"PSMA4"	0.523488018162851	-0.036331128967523	-0.38588644261025	"IS01"	0.523488018162851
"ZZZ3"	"ZZZ3"	0.516829860899994	0.49052189162989	-0.866317946034502	"IS01"	0.516829860899994
"AP5B1"	"AP5B1"	0.51654263211718	-0.0176163560053099	-0.397577528045025	"IS01"	0.51654263211718
"PTPRQ"	"PTPRQ"	0.513349524769003	-0.0117260688003044	-0.400450344214235	"IS01"	0.513349524769003
"HHLA2"	"HHLA2"	0.512109618569672	0.101211092782894	-0.50358659705628	"IS01"	0.512109618569672
"ARMC8"	"ARMC8"	0.511498319348951	0.487466609738762	-0.85922965390257	"IS01"	0.511498319348951
"SLC9A7"	"SLC9A7"	0.498967338024874	0.0809503322430885	-0.474377170542534	"IS01"	0.498967338024874
"ABR"	"ABR"	0.498950374504858	0.380827229216045	-0.75085411895495	"IS01"	0.498950374504858
"ASCL3"	"ASCL3"	0.498744964626954	0.145952529364989	-0.534131920927066	"IS01"	0.498744964626954
"CHRNA9"	"CHRNA9"	0.477331491898343	-0.050769199790395	-0.335596768179879	"IS01"	0.477331491898343
"SPATA4"	"SPATA4"	0.475485566151788	0.273929741462925	-0.633494731318011	"IS01"	0.475485566151788
"AVPI1"	"AVPI1"	0.460252131141054	-0.220129902838259	-0.165761056042705	"IS01"	0.460252131141054
"AC002985.3"	"AC002985.3"	0.455355208642049	0.451739244586144	-0.781310367493651	"IS01"	0.455355208642049
"ZBTB25"	"ZBTB25"	0.454051620356035	0.146046347252882	-0.498413048993047	"IS01"	0.454051620356035
"GPR22"	"GPR22"	0.452168829698697	0.151645461636182	-0.502067139608211	"IS01"	0.452168829698697
"PDCL2"	"PDCL2"	0.452158313764858	-0.00772971975796067	-0.355112650839462	"IS01"	0.452158313764858
"LETM2"	"LETM2"	0.449138148957815	0.256621072554755	-0.596428084494711	"IS01"	0.449138148957815
"GPR52"	"GPR52"	0.445530371262785	0.411731066585985	-0.736551273748331	"IS01"	0.445530371262785
"APEX1"	"APEX1"	0.44543019863091	0.0982777476978451	-0.447462839655424	"IS01"	0.44543019863091
"MUC13"	"MUC13"	0.442146792540868	-0.0690958508015013	-0.29051167784745	"IS01"	0.442146792540868
"CTD.3214H19.4"	"CTD.3214H19.4"	0.439734397671298	0.33380510978655	-0.66005913835234	"IS01"	0.439734397671298
"KTN1"	"KTN1"	0.435955999881715	0.01144236608998	-0.359809342053425	"IS01"	0.435955999881715
"CLIP4"	"CLIP4"	0.430632355778872	0.249039557681079	-0.574612199074348	"IS01"	0.430632355778872
"P2RX7"	"P2RX7"	0.425166825812461	0.156965976900182	-0.485340493531916	"IS01"	0.425166825812461
"NEDD8.MDP1"	"NEDD8.MDP1"	0.418355195283622	0.225370669724002	-0.542953510561189	"IS01"	0.418355195283622
"FP325331.1"	"FP325331.1"	0.418051495556453	-0.171528741577227	-0.176763602664025	"IS01"	0.418051495556453
"GJB3"	"GJB3"	0.413329359467371	-0.0184664840479185	-0.31410600049189	"IS01"	0.413329359467371
"PCCB"	"PCCB"	0.402244194150835	-0.254998034428123	-0.0871400181614106	"IS01"	0.402244194150835
"SORBS2"	"SORBS2"	0.399969956311392	0.158327114411479	-0.466409402994683	"IS01"	0.399969956311392
"MFSD2B"	"MFSD2B"	0.396451374934486	-0.439378361378449	0.0875019534184362	"IS01"	0.396451374934486
"ABCB5"	"ABCB5"	0.395164076363621	-0.441866888157824	0.0908277077336817	"IS01"	0.395164076363621
"ITLN1"	"ITLN1"	0.39399455895042	-0.15372919580353	-0.173902185375033	"IS01"	0.39399455895042
"NMNAT2"	"NMNAT2"	0.392649141912968	0.339009183059301	-0.627135748266767	"IS01"	0.392649141912968
"ALOXE3"	"ALOXE3"	0.384636331363528	-0.0479625364261295	-0.263923272469766	"IS01"	0.384636331363528
"WISP2"	"WISP2"	0.382691775733268	-0.415737336335518	0.0767278974305202	"IS01"	0.382691775733268
"ZNF804A"	"ZNF804A"	0.38105182109468	0.300644012425534	-0.582471532078267	"IS01"	0.38105182109468
"GPR150"	"GPR150"	0.375954599258374	-0.0682863489550029	-0.238229209745467	"IS01"	0.375954599258374
"DGKG"	"DGKG"	0.368943310688406	0.048964248862242	-0.340718856237678	"IS01"	0.368943310688406
"CEP63"	"CEP63"	0.365626507844035	0.0907800173122494	-0.37661635333452	"IS01"	0.365626507844035
"RP11.468E2.6"	"RP11.468E2.6"	0.347481667700214	0.0983961227179172	-0.369102050404745	"IS01"	0.347481667700214
"KRT7"	"KRT7"	0.347151034145873	0.0191020985920252	-0.295727010140918	"IS01"	0.347151034145873
"TMEM55B"	"TMEM55B"	0.33882289691344	-0.00523857788894015	-0.266612621742375	"IS01"	0.33882289691344
"BDH1"	"BDH1"	0.32528155502361	0.117450545771353	-0.36888521230225	"IS01"	0.32528155502361
"MLPH"	"MLPH"	0.309505643964601	-0.311015029726375	0.038804444153954	"IS01"	0.309505643964601
"SPDYE4"	"SPDYE4"	0.307033641915522	0.195266613835804	-0.426013645273309	"IS01"	0.307033641915522
"PRDM12"	"PRDM12"	0.297309877829125	0.151848066814668	-0.378191118638346	"IS01"	0.297309877829125
"ME3"	"ME3"	0.291560663936075	0.0329614980790262	-0.263970208081913	"IS01"	0.291560663936075
"GYG1"	"GYG1"	0.289823066507674	-0.115670746137346	-0.125537227793019	"IS01"	0.289823066507674
"EPDR1"	"EPDR1"	0.28586810678124	0.0385723854686828	-0.264583018762724	"IS01"	0.28586810678124
"OR7E24"	"OR7E24"	0.280482863691716	-0.0600279152117312	-0.169357910130296	"IS01"	0.280482863691716
"TSLP"	"TSLP"	0.274806266966793	0.226968024360729	-0.429424315741654	"IS01"	0.274806266966793
"RNASE7"	"RNASE7"	0.273495236528376	0.196161240469132	-0.3999697344964	"IS01"	0.273495236528376
"CD1A"	"CD1A"	0.267944021021185	-0.110450903024697	-0.11282193858229	"IS01"	0.267944021021185
"CCR3"	"CCR3"	0.266109593412696	-0.0409328238879942	-0.175448921013832	"IS01"	0.266109593412696
"CAST"	"CAST"	0.259129220002854	0.0295673853480585	-0.234858846684421	"IS01"	0.259129220002854
"PDK1"	"PDK1"	0.255338966001645	0.251564809295918	-0.436506959284793	"IS01"	0.255338966001645
"ACCSL"	"ACCSL"	0.23929790385908	-0.138525725789456	-0.0639871853750958	"IS01"	0.23929790385908
"ITLN2"	"ITLN2"	0.237756556593808	0.0252071819086841	-0.213716305581883	"IS01"	0.237756556593808
"KIR2DL1"	"KIR2DL1"	0.149766648078289	-0.0145706058334168	-0.1065489113379	"IS01"	0.149766648078289
"SLC46A3"	"SLC46A3"	0.142742497417368	0.139622618224601	-0.243089852593207	"IS01"	0.142742497417368
"NCEH1"	"NCEH1"	0.0896580554036013	-0.0982008309269133	0.0187143410240208	"IS01"	0.0896580554036013
"CD1B"	"CD1B"	0.0762952776540649	-0.139996448939688	0.0679558440956904	"IS01"	0.0762952776540649
"RP11.159D12.5"	"RP11.159D12.5"	0.0615928794927999	0.0603419413162718	-0.10498025417134	"IS01"	0.0615928794927999
"ACAT1"	"ACAT1"	0.0322813675134502	-0.0580007225781442	0.0276157351454646	"IS01"	0.0322813675134502
"PLA2G6"	"PLA2G6"	-0.485352013829636	1.01508891075198	-0.547093479479238	"IS02"	1.01508891075198
"ADCY5"	"ADCY5"	-0.676800825856204	0.985910409888044	-0.366814289147033	"IS02"	0.985910409888044
"GYS2"	"GYS2"	-0.301217350903311	0.978464040108841	-0.660841458802415	"IS02"	0.978464040108841
"PPP1R26"	"PPP1R26"	-0.268933272403917	0.946244238867172	-0.656998252272479	"IS02"	0.946244238867172
"FAM189A2"	"FAM189A2"	-0.479024305978636	0.93334479176416	-0.476793644759611	"IS02"	0.93334479176416
"SYNM"	"SYNM"	-0.22383094226134	0.928332554393411	-0.676616463830781	"IS02"	0.928332554393411
"GABRR2"	"GABRR2"	0.139646901735694	0.921779891163828	-0.961769406182128	"IS02"	0.921779891163828
"MYRIP"	"MYRIP"	-0.5349161738883	0.910471586991309	-0.410927346606465	"IS02"	0.910471586991309
"ETNPPL"	"ETNPPL"	-0.295075552583958	0.892354508521167	-0.586367716350163	"IS02"	0.892354508521167
"DMTN"	"DMTN"	-0.333981695449935	0.888923491726411	-0.552035225190904	"IS02"	0.888923491726411
"HTR1D"	"HTR1D"	0.0397643683475268	0.885593187465472	-0.848385449508367	"IS02"	0.885593187465472
"ADHFE1"	"ADHFE1"	-0.238325625810223	0.880118647913437	-0.620550403719159	"IS02"	0.880118647913437
"DMGDH"	"DMGDH"	-0.126129231166047	0.879351733157491	-0.70972768362544	"IS02"	0.879351733157491
"RPS6KA5"	"RPS6KA5"	-0.0164143568213516	0.871048967036368	-0.789968775911145	"IS02"	0.871048967036368
"WDR93"	"WDR93"	-0.572711789247527	0.860328475984979	-0.33441535708526	"IS02"	0.860328475984979
"ABCC11"	"ABCC11"	-0.299374504165115	0.859653668412813	-0.552773063498251	"IS02"	0.859653668412813
"VSX1"	"VSX1"	-0.132752218515539	0.854568350955226	-0.681571168730743	"IS02"	0.854568350955226
"SLC25A4"	"SLC25A4"	-0.549468886686524	0.847607839412197	-0.341307446437284	"IS02"	0.847607839412197
"CFAP70"	"CFAP70"	-0.416704506116553	0.844331830653301	-0.444649027899974	"IS02"	0.844331830653301
"PRKAA2"	"PRKAA2"	-0.0568839217707933	0.832136222686711	-0.72166914285932	"IS02"	0.832136222686711
"ZMAT1"	"ZMAT1"	0.0499925087390735	0.825994729841952	-0.80162898336378	"IS02"	0.825994729841952
"RP11.574K11.31"	"RP11.574K11.31"	-0.245007900992392	0.822119402406413	-0.561720917907222	"IS02"	0.822119402406413
"KCNIP2"	"KCNIP2"	-0.275190981891726	0.814865359881832	-0.530851890101859	"IS02"	0.814865359881832
"ALDH1L1"	"ALDH1L1"	-0.466194285469587	0.804995187342534	-0.368732150697151	"IS02"	0.804995187342534
"RP11.691N7.6"	"RP11.691N7.6"	0.166861120630973	0.795445616175983	-0.86708974842245	"IS02"	0.795445616175983
"LRRC2"	"LRRC2"	0.0658971599916666	0.778460982102989	-0.770543990085445	"IS02"	0.778460982102989
"NXNL1"	"NXNL1"	-0.214882149356429	0.776291810767705	-0.543602035541039	"IS02"	0.776291810767705
"PLCB4"	"PLCB4"	0.128991883125842	0.776063493892762	-0.818880823636822	"IS02"	0.776063493892762
"MYZAP"	"MYZAP"	-0.416536772458227	0.775179299598894	-0.381023839950773	"IS02"	0.775179299598894
"FBXO40"	"FBXO40"	-0.267973116927779	0.77384722108156	-0.498815093150073	"IS02"	0.77384722108156
"PPP1R12B"	"PPP1R12B"	0.0098032571553692	0.756185792287875	-0.705067212659304	"IS02"	0.756185792287875
"PLIN1"	"PLIN1"	-0.515638149510601	0.743156624429701	-0.272104984844982	"IS02"	0.743156624429701
"TMEM266"	"TMEM266"	-0.114583046618233	0.722991078605031	-0.57481109893459	"IS02"	0.722991078605031
"ZSCAN4"	"ZSCAN4"	-0.298484556045435	0.714854822059726	-0.419979544670211	"IS02"	0.714854822059726
"PMEL"	"PMEL"	-0.274829878430853	0.714826009127503	-0.438903553522476	"IS02"	0.714826009127503
"CDKL1"	"CDKL1"	-0.0377291955640328	0.708440074279553	-0.622965136911168	"IS02"	0.708440074279553
"ERICH1"	"ERICH1"	0.296376060023372	0.700355643449905	-0.883174379392422	"IS02"	0.700355643449905
"ERV3.1"	"ERV3.1"	-0.112884752543122	0.700235481385744	-0.555190693490558	"IS02"	0.700235481385744
"ARNT2"	"ARNT2"	-0.186861697643734	0.700223673730045	-0.495914334880187	"IS02"	0.700223673730045
"SYNDIG1L"	"SYNDIG1L"	-0.296836465312803	0.692883295343707	-0.401041843169815	"IS02"	0.692883295343707
"MT.ND5"	"MT.ND5"	0.457057530538645	0.679814332796083	-0.992962459631319	"IS02"	0.679814332796083
"GCNT3"	"GCNT3"	0.219893297615173	0.670944317640023	-0.794783772701875	"IS02"	0.670944317640023
"KLHL10"	"KLHL10"	-0.0248555204002433	0.670092599936496	-0.597921792389322	"IS02"	0.670092599936496
"TMEM130"	"TMEM130"	-0.494311668758438	0.657571532746565	-0.210279753732629	"IS02"	0.657571532746565
"RCBTB1"	"RCBTB1"	0.112238739848264	0.657319763276339	-0.695975985940742	"IS02"	0.657319763276339
"MTHFS"	"MTHFS"	0.0024281019097514	0.654801425169466	-0.605680970287777	"IS02"	0.654801425169466
"PIP5K1B"	"PIP5K1B"	-0.199939375949027	0.653974607269621	-0.442795095307863	"IS02"	0.653974607269621
"HHATL"	"HHATL"	-0.339377614370626	0.652647907387262	-0.329863097708846	"IS02"	0.652647907387262
"DAPL1"	"DAPL1"	-0.480942729838237	0.652384714348854	-0.216207753487045	"IS02"	0.652384714348854
"TMX2.CTNND1"	"TMX2.CTNND1"	0.0652548664884072	0.650892440854653	-0.652409513267194	"IS02"	0.650892440854653
"LRRC39"	"LRRC39"	0.181854894659268	0.634402219575886	-0.730617594841129	"IS02"	0.634402219575886
"CERS3"	"CERS3"	-0.204899980317456	0.634137851576105	-0.420531228795462	"IS02"	0.634137851576105
"GYPA"	"GYPA"	-0.0304920770974366	0.62689343246316	-0.553575938885669	"IS02"	0.62689343246316
"HOGA1"	"HOGA1"	0.25689379877633	0.615390403706929	-0.773204688151801	"IS02"	0.615390403706929
"SLC8A1"	"SLC8A1"	0.332372484824057	0.614907114565812	-0.833227657103171	"IS02"	0.614907114565812
"ITGB1BP2"	"ITGB1BP2"	-0.0518122139188652	0.613848078179879	-0.524467652566193	"IS02"	0.613848078179879
"NDRG4"	"NDRG4"	-0.0189207489323921	0.611086119873704	-0.54827157220996	"IS02"	0.611086119873704
"RP4.777O23.3"	"RP4.777O23.3"	-0.0702834035551644	0.609946050091868	-0.506072025613001	"IS02"	0.609946050091868
"C14orf180"	"C14orf180"	-0.579582544321502	0.605192944154606	-0.093672562062934	"IS02"	0.605192944154606
"SMCO3"	"SMCO3"	-0.448459158460589	0.602450959099918	-0.196191863345607	"IS02"	0.602450959099918
"FN3K"	"FN3K"	-0.19195346513055	0.602157760915068	-0.401417052444187	"IS02"	0.602157760915068
"MAS1"	"MAS1"	0.022441380011263	0.59682011861848	-0.56825474914999	"IS02"	0.59682011861848
"ADRA1A"	"ADRA1A"	-0.158262559603519	0.591592751520463	-0.418666913151638	"IS02"	0.591592751520463
"ETFDH"	"ETFDH"	0.163766979684389	0.590873188849961	-0.675992392160748	"IS02"	0.590873188849961
"PNPLA7"	"PNPLA7"	-0.619547205451149	0.586966247852508	-0.0448502397535542	"IS02"	0.586966247852508
"RP11.162P23.2"	"RP11.162P23.2"	0.0248954665617213	0.580276252648628	-0.554967134905556	"IS02"	0.580276252648628
"TUSC5"	"TUSC5"	-0.205770311174429	0.576413039341884	-0.366610922394198	"IS02"	0.576413039341884
"SERPINI2"	"SERPINI2"	0.18062237321232	0.571060147917188	-0.671227936261059	"IS02"	0.571060147917188
"L3MBTL4"	"L3MBTL4"	0.0183942834794564	0.570638175811341	-0.540872377153091	"IS02"	0.570638175811341
"SGPP2"	"SGPP2"	0.18322875154332	0.570237796478177	-0.6725577763657	"IS02"	0.570237796478177
"ENKUR"	"ENKUR"	-0.0425861277794442	0.570220187491982	-0.491633484184722	"IS02"	0.570220187491982
"STS"	"STS"	0.292465436772967	0.566641648711107	-0.756755340448243	"IS02"	0.566641648711107
"SLC25A48"	"SLC25A48"	-0.301460201116277	0.566434701916091	-0.280750303141073	"IS02"	0.566434701916091
"KCNQ4"	"KCNQ4"	-0.356902967351894	0.563804251575949	-0.233907888030402	"IS02"	0.563804251575949
"FAM135B"	"FAM135B"	0.173526181795185	0.563544276167416	-0.658613198570921	"IS02"	0.563544276167416
"TMOD1"	"TMOD1"	-0.599276794960556	0.560295225326818	-0.0364985198384258	"IS02"	0.560295225326818
"ALDH2"	"ALDH2"	-0.0345443354462789	0.555482867884471	-0.484488033058816	"IS02"	0.555482867884471
"POLG"	"POLG"	0.196958920603126	0.553589458073901	-0.668207494155719	"IS02"	0.553589458073901
"GYPE"	"GYPE"	-0.158429447029896	0.544488876969442	-0.375102807057764	"IS02"	0.544488876969442
"RNF157"	"RNF157"	0.115753444873302	0.543446774368379	-0.593799307176823	"IS02"	0.543446774368379
"CDS2"	"CDS2"	0.44686083625939	0.543310967036999	-0.858935595607747	"IS02"	0.543310967036999
"METTL17"	"METTL17"	0.176750689185734	0.540950735529892	-0.640364913389935	"IS02"	0.540950735529892
"ADH4"	"ADH4"	-0.175201240706737	0.537206234471707	-0.354951652557137	"IS02"	0.537206234471707
"HADHB"	"HADHB"	-0.102885904541943	0.526024162969424	-0.402575931803857	"IS02"	0.526024162969424
"IL13"	"IL13"	-0.196827186295469	0.525503880416039	-0.3268366366304	"IS02"	0.525503880416039
"HTRA4"	"HTRA4"	0.0694584558209712	0.524235965986113	-0.538998177130548	"IS02"	0.524235965986113
"FCER1A"	"FCER1A"	-0.443864766299549	0.518973382329581	-0.12290513846234	"IS02"	0.518973382329581
"STAB2"	"STAB2"	-0.027410462447204	0.516013319824343	-0.453811768781437	"IS02"	0.516013319824343
"FREM3"	"FREM3"	0.0979306373847244	0.51186872678151	-0.550405458648771	"IS02"	0.51186872678151
"ALPP"	"ALPP"	-0.207565234777009	0.50752621226197	-0.301658364940569	"IS02"	0.50752621226197
"PBLD"	"PBLD"	0.00972724004902444	0.506569692409384	-0.474856906227438	"IS02"	0.506569692409384
"RERGL"	"RERGL"	-0.473666228398545	0.499378152504335	-0.0809630976544	"IS02"	0.499378152504335
"ARHGEF10"	"ARHGEF10"	0.214422356353818	0.493450315845031	-0.626748953162904	"IS02"	0.493450315845031
"GPAT3"	"GPAT3"	-0.00223989245232467	0.48779990989724	-0.447963633002647	"IS02"	0.48779990989724
"PPP1R3B"	"PPP1R3B"	-0.0166690999066449	0.485408129063254	-0.434198645127439	"IS02"	0.485408129063254
"PRR26"	"PRR26"	-0.457753199839067	0.484921595451055	-0.080382431099576	"IS02"	0.484921595451055
"ST20.MTHFS"	"ST20.MTHFS"	0.112175452218949	0.478956644173497	-0.531472085611517	"IS02"	0.478956644173497
"CPEB4"	"CPEB4"	0.380904597351035	0.478306844516117	-0.746161110457199	"IS02"	0.478306844516117
"FBXO39"	"FBXO39"	-0.0129300640235545	0.477729828997437	-0.430114619117016	"IS02"	0.477729828997437
"KCTD16"	"KCTD16"	0.173686458834091	0.476817017484795	-0.578777901255937	"IS02"	0.476817017484795
"CHN2"	"CHN2"	-0.117325910366978	0.472919548324784	-0.342044377087342	"IS02"	0.472919548324784
