"IS01"	"IS02"	"IS03"	"IS04"
"CRLF1__pos"	7.78735618801609	15.0546794545686	0.863447671860352	1.7460549808809
"LMO4__pos"	1.97487519637278	7.91850467543738	2.09859519546392	13.7392394692735
"LPCAT1__pos"	4.42188748137947	7.78342159619513	8.3736655701354	5.16247202380444
"BASP1__pos"	4.54668159456793	3.96921288034961	2.10676305442269	13.003599689594
"PTGDS__pos"	11.1079861612724	8.95498518433395	5.10930447892998	2.00159242312325
"SEMA7A__pos"	4.3792307790347	6.10217508577516	2.22044604925031e-16	15.1544520884329
"KRT14__pos"	4.48928749572917	5.34957332265736	3.28427717923454	12.6838376884991
"MEOX2__pos"	2.22044604925031e-16	12.1396387967037	6.82891868849308	5.34898547038592
"EEF1A2__pos"	5.4483025509689	16.3561129356292	2.22044604925031e-16	4.59530476449147
"GLI1__pos"	1.43168422241716	12.867861360159	3.91798928857617	5.09106645210746
"CRABP1__pos"	2.22044604925031e-16	20.2144223206267	5.29849442187629	2.22044604925031e-16
"PRPH__pos"	1.47674100222877	21.7316494498767	2.22044604925031e-16	1.49148725820733
"MSLN__pos"	5.88865248975149	13.4401046341551	2.35315532162839	3.44827832692946
"STMN2__pos"	7.05990919198978	12.5331519466015	1.15574421585659	5.96901131143827
"BAZ2A__pos"	2.22044604925031e-16	12.2144752028788	2.8959631111237	7.59115808713777
"CSTB__pos"	13.5565356003698	2.22044604925031e-16	0.603554083824884	14.202229072538
"SIX1__pos"	0.207449788849044	13.1404249406124	6.13149879883105	6.00248124665209
"KRT17__pos"	6.54387997345974	13.9431068056461	0.275304908438497	2.51190445472357
"CPT1A__pos"	2.22044604925031e-16	9.7889846676212	7.60757652964588	5.59496806579535
"CEP290__pos"	2.22044604925031e-16	12.4952118554527	4.77078897598472	5.00590115073455
"PAPOLA__pos"	2.22044604925031e-16	8.88094601976354	1.27151593024592	10.682709219754
"ISYNA1__pos"	4.45827852206894	11.1551064539623	5.02072781800888	2.22044604925031e-16
"SEPT6__pos"	1.21486934350164	16.6108751903173	5.56607701582589	1.07628163419496
"TCF7__pos"	3.42475407827441	7.44987497154811	7.66962910424016e-07	11.4214963095911
"GLT8D2__pos"	8.75906705605202e-05	8.07148186041361	6.5326513473754	5.81912615590409
"COL9A3__pos"	3.95897140603953	17.7311690506771	3.48233150138966	0.242112851541303
"KRT8__pos"	3.5165724967421	10.0099643400136	1.88341451223664	6.8992891462036
"SHISA2__pos"	2.04049714641969	14.7719962168201	1.39572947019252	3.6863985756298
"CD9__pos"	0.366895014534875	11.2166573866732	3.5757979182715	7.35371549941816
"BIN1__pos"	5.0087614794071	5.2502392218203	13.568092112277	3.48285381956472
"TWF1__pos"	2.22044604925031e-16	3.84316137720004	2.22044604925031e-16	20.0698713125326
"CA9__pos"	4.49560168244447	9.62413503072477	2.22044604925031e-16	11.9934813375231
"EGFL7__pos"	6.37183140123473	2.75864583308773	12.4542490340985	2.22044604925031e-16
"HBA1__pos"	12.816816431598	5.72949415609617	5.65031576657509	2.38633296413503
"MSX2__pos"	0.447519361107355	8.8648145922561	14.7003014244526	0.621899214541633
"LEF1__pos"	2.22044604925031e-16	13.281810343381	0.885777655210207	11.4972852196618
"DLX5__pos"	4.3098445352874	13.3079442042589	5.44637511209288	0.55014130153327
"GADD45G__pos"	4.45681384867336	7.68156519910736	7.89158105024497	1.56274229355589
"STAT2__pos"	2.22044604925031e-16	10.5137790585169	1.82344575246408	9.69872731972224
"WFDC2__pos"	4.4999032471201	15.7286110327977	2.32101598256391	1.40581456894941
"BDKRB2__pos"	2.83758819876625	2.81402105827623	15.6970368080508	5.7130826483665
"B4GALNT4__pos"	6.39631787793765	11.4524299043968	0.446728371325106	3.64752676293635
"SFTPA1__pos"	5.26042396232629	9.76300649457869	3.22209749251193	7.90631966167017
"C4orf48__pos"	17.0352545508319	4.34941617939897	3.7903982273926	3.45296182950482
"SFRP5__pos"	3.01563966762554	22.5029588295297	2.22044604925031e-16	2.22044604925031e-16
"C19orf33__pos"	11.6260581220313	4.60070696159841	8.88021647234367	2.21056756114732
"CAPG__pos"	8.37380471897667	4.12967498358785	1.58981711196755	7.9694131830831
"GART__pos"	2.72717610631859	7.01797567285173	0.298134741970926	10.0568323373866
"PCBP3__pos"	8.32068620605805	4.44715505084694	11.0855021607689	3.05907531790929
"TNNI2__pos"	13.0478874479452	5.36126557541911	1.38999319051177	8.60850836626686
"PTPRE__pos"	2.22044604925031e-16	1.34229481553893	13.6866763487135	9.72185171394738
"PRAME__pos"	7.25742342676332	17.4836047616167	1.08634134913894	2.0631238455691
"RCOR1__pos"	0.124194928975051	14.0210939824204	3.71169321366412	5.65327330346473
"PTPRF__pos"	1.9437030168382	8.20842525448664	4.17116965236447	5.78143730019545
"OVOS2__pos"	4.2438570683988	13.8734708351847	1.64925565784431	2.67176007032539
"TFF3__pos"	4.98234361507907	13.8625058536965	6.0582617680846	1.51493474004463
"INPP5D__pos"	4.46278853323429	1.68251251305629	16.1942081528117	4.03614924553606
"UCHL1__pos"	3.6087949757714	10.4639744356317	5.90808829684325	4.24813536344439
"DNAJC14__pos"	2.22044604925031e-16	12.1739028256753	4.89933236219804	5.19171569766276
"NUP37__pos"	1.40641693988779e-15	4.67194831164108	3.85011543362318	16.1664017729441
"CNPY2__pos"	12.9020269409949	8.06633774379089	2.68643116185594	2.24813418494538
"TNNI3__pos"	5.87876232233396	14.65287230542	5.02505345614438	2.22044604925031e-16
"SFTPA2__pos"	6.82527639106223	13.4023214036064	4.17059742593854	2.16460164103862
